row_0,COG,CAZyme,KO,Pfam
Aq_sp_Aq107_00183,COG0858,,K02834,PF02033.19
Aq_sp_Aq107_00184,COG4591,,,PF02687.22
Aq_sp_Aq107_00185,COG0042,,K05540,PF01207.18
Aq_sp_Aq107_00187,COG3950,,,PF13175.7
Aq_sp_Aq107_00188,COG0481,,K03596,PF00679.25
Aq_sp_Aq107_00189,COG0561,,K20861,PF12710.8
Aq_sp_Aq107_00190,COG0432,,,PF01894.18
Aq_sp_Aq107_00192,COG4771,,,PF13715.7
Aq_sp_Aq107_00193,COG0166,,K01810,PF00342.20
Aq_sp_Aq107_00194,COG0739,,K19304,PF01551.23
Aq_sp_Aq107_00195,COG3483,,K00453,PF03301.14
Aq_sp_Aq107_00196,,,,PF11306.9
Aq_sp_Aq107_00197,COG3185,,K00457,PF00903.26
Aq_sp_Aq107_00198,COG3508,,,PF07883.12
Aq_sp_Aq107_00199,COG1752,,,PF19143.1
Aq_sp_Aq107_00200,COG0322,,K03703,PF01541.25
Aq_sp_Aq107_00201,COG4067,,,PF05618.12
Aq_sp_Aq107_00202,COG0189,,K05844,PF02655.15
Aq_sp_Aq107_00203,COG3608,,,PF04952.15
Aq_sp_Aq107_00204,COG0212,,K01934,PF01812.21
Aq_sp_Aq107_00205,COG0597,,,PF01252.19
Aq_sp_Aq107_00207,,,,PF13349.7
Aq_sp_Aq107_00208,,,,PF13349.7
Aq_sp_Aq107_00209,,,,PF13646.7
Aq_sp_Aq107_00210,COG1595,,K03088,PF04542.15
Aq_sp_Aq107_00211,COG1734,,,PF01258.18
Aq_sp_Aq107_00212,COG0060,,K01870,PF08264.14
Aq_sp_Aq107_00213,COG1629,,,PF13715.7
Aq_sp_Aq107_00214,COG1846,,,PF13463.7
Aq_sp_Aq107_00216,COG0388,,K13566,PF00795.23
Aq_sp_Aq107_00217,,,,PF13205.7
Aq_sp_Aq107_00218,COG1040,,,PF00156.28
Aq_sp_Aq107_00220,COG0423,,K01880,PF03129.21
Aq_sp_Aq107_00221,COG4935,,,PF07705.12
Aq_sp_Aq107_00222,,,,PF07705.12
Aq_sp_Aq107_00225,,,,PF08695.11
Aq_sp_Aq107_00226,COG4995,,,PF12770.8
Aq_sp_Aq107_00227,COG2852,,,PF04480.13
Aq_sp_Aq107_00228,COG0708,,K01142,PF03372.24
Aq_sp_Aq107_00229,COG1360,,,PF00691.21
Aq_sp_Aq107_00232,COG0667,,,PF00248.22
Aq_sp_Aq107_00233,COG1066,,K04485,PF00004.30
Aq_sp_Aq107_00234,COG2819,,,PF00756.21
Aq_sp_Aq107_00235,COG0392,,,PF03706.14
Aq_sp_Aq107_00236,COG0853,,K01579,PF02261.17
Aq_sp_Aq107_00237,COG0414,,K01918,PF02569.16
Aq_sp_Aq107_00238,COG0297,GT5,K00703,PF08323.12
Aq_sp_Aq107_00239,,,,PF14092.7
Aq_sp_Aq107_00240,COG0449,,K00820,PF13230.7
Aq_sp_Aq107_00241,COG1629,,,PF13715.7
Aq_sp_Aq107_00242,COG1629,,,PF13715.7
Aq_sp_Aq107_00243,,,,PF13472.7
Aq_sp_Aq107_00244,COG3000,,,PF04116.14
Aq_sp_Aq107_00245,COG0055,,K02112,PF00006.26
Aq_sp_Aq107_00246,COG0355,,,PF02823.17
Aq_sp_Aq107_00247,COG3279,,,PF04397.16
Aq_sp_Aq107_00248,COG1073,,,PF00561.21
Aq_sp_Aq107_00250,COG1506,,,PF00326.22
Aq_sp_Aq107_00251,,,,PF00583.26
Aq_sp_Aq107_00252,COG0513,,K05592,PF00270.30
Aq_sp_Aq107_00253,COG1408,,,PF00149.29
Aq_sp_Aq107_00254,,,,PF11188.9
Aq_sp_Aq107_00255,,,,PF11188.9
Aq_sp_Aq107_00256,COG0156,,,PF00155.22
Aq_sp_Aq107_00257,COG0132,,K01935,PF13500.7
Aq_sp_Aq107_00258,COG0161,,,PF00202.22
Aq_sp_Aq107_00260,,,,PF08695.11
Aq_sp_Aq107_00262,COG3275,,,PF06580.14
Aq_sp_Aq107_00263,COG3279,,K11641,PF04397.16
Aq_sp_Aq107_00264,COG0304,,K09458,PF00109.27
Aq_sp_Aq107_00265,COG0502,,K01012,PF06968.14
Aq_sp_Aq107_00266,,,,PF13621.7
Aq_sp_Aq107_00267,COG2207,,,PF12833.8
Aq_sp_Aq107_00268,COG0793,,,PF03572.19
Aq_sp_Aq107_00269,COG2137,,,PF02631.17
Aq_sp_Aq107_00270,COG1530,,K08301,PF10150.10
Aq_sp_Aq107_00271,COG0776,,K03530,PF00216.22
Aq_sp_Aq107_00272,COG1194,,,PF00633.24
Aq_sp_Aq107_00273,COG0629,,K03111,PF00436.26
Aq_sp_Aq107_00274,COG1253,,,PF00571.29
Aq_sp_Aq107_00276,COG0697,,,PF00892.21
Aq_sp_Aq107_00277,COG0612,,,PF05193.22
Aq_sp_Aq107_00278,COG0612,,,PF00675.21
Aq_sp_Aq107_00279,,,,PF13858.7
Aq_sp_Aq107_00280,COG0261,,,PF14520.7
Aq_sp_Aq107_00281,COG0211,,K02899,PF01016.20
Aq_sp_Aq107_00283,,,,PF00515.29
Aq_sp_Aq107_00284,COG1629,,,PF13715.7
Aq_sp_Aq107_00285,COG4247,,K01083,PF02333.16
Aq_sp_Aq107_00286,COG0499,,K01251,PF02826.20
Aq_sp_Aq107_00287,COG2091,,,PF01648.21
Aq_sp_Aq107_00289,COG3201,,K03811,PF04973.13
Aq_sp_Aq107_00290,COG3172,,K06211,PF13521.7
Aq_sp_Aq107_00291,,,,PF14134.7
Aq_sp_Aq107_00292,COG1186,,K15034,PF00472.21
Aq_sp_Aq107_00294,COG2204,,K07713,PF00004.30
Aq_sp_Aq107_00295,COG0642,,,PF02518.27
Aq_sp_Aq107_00296,COG1629,,,PF07715.16
Aq_sp_Aq107_00297,COG2104,,,PF02597.21
Aq_sp_Aq107_00298,COG0422,,K03147,PF13667.7
Aq_sp_Aq107_00299,COG0352,,,PF02581.18
Aq_sp_Aq107_00300,COG0351,,K00941,PF08543.13
Aq_sp_Aq107_00301,COG0352,,K00788,PF02581.18
Aq_sp_Aq107_00302,COG2022,,K03149,PF00977.22
Aq_sp_Aq107_00303,COG1060,,K03150,PF06968.14
Aq_sp_Aq107_00304,COG0476,,K21147,PF00581.21
Aq_sp_Aq107_00306,COG0782,,K03624,PF01272.20
Aq_sp_Aq107_00307,COG0537,,,PF11969.9
Aq_sp_Aq107_00308,COG0824,,,PF03061.23
Aq_sp_Aq107_00309,COG0642,,,PF02518.27
Aq_sp_Aq107_00310,COG1853,,,PF01613.19
Aq_sp_Aq107_00311,,,,PF11325.9
Aq_sp_Aq107_00312,COG2360,,K00684,PF03588.15
Aq_sp_Aq107_00313,COG0035,,K00761,PF00156.28
Aq_sp_Aq107_00314,COG3602,,,PF10000.10
Aq_sp_Aq107_00315,COG2818,,K01246,PF03352.14
Aq_sp_Aq107_00316,,,,PF14595.7
Aq_sp_Aq107_00318,COG0130,,K03177,PF16198.6
Aq_sp_Aq107_00319,COG1968,,K06153,PF02673.19
Aq_sp_Aq107_00320,,,,PF11297.9
Aq_sp_Aq107_00322,COG0682,,K13292,PF01790.19
Aq_sp_Aq107_00323,COG2177,,K09811,PF18075.2
Aq_sp_Aq107_00324,COG1893,,,PF02558.17
Aq_sp_Aq107_00325,COG0495,,K01869,PF08264.14
Aq_sp_Aq107_00326,COG0686,,,PF02826.20
Aq_sp_Aq107_00327,COG2738,,,PF04298.13
Aq_sp_Aq107_00328,COG1232,,,PF01593.25
Aq_sp_Aq107_00329,,,,PF13231.7
Aq_sp_Aq107_00330,COG1522,,K03718,PF01037.22
Aq_sp_Aq107_00331,COG1748,,,PF16653.6
Aq_sp_Aq107_00332,COG2363,,,PF04241.16
Aq_sp_Aq107_00333,COG1866,,K01610,PF01293.21
Aq_sp_Aq107_00334,COG1587,,,PF02602.16
Aq_sp_Aq107_00335,,,,PF14093.7
Aq_sp_Aq107_00336,COG0463,GT2,K00721,PF00535.27
Aq_sp_Aq107_00337,COG0044,,K01466,PF01979.21
Aq_sp_Aq107_00338,,,,PF14129.7
Aq_sp_Aq107_00339,COG0451,,,PF01073.20
Aq_sp_Aq107_00340,COG4995,,,PF12770.8
Aq_sp_Aq107_00341,COG1595,,,PF04542.15
Aq_sp_Aq107_00343,COG0162,,K01866,PF00579.26
Aq_sp_Aq107_00344,,,,PF04945.14
Aq_sp_Aq107_00345,,,,PF04443.13
Aq_sp_Aq107_00346,,,,PF18962.1
Aq_sp_Aq107_00347,COG0534,,,PF01554.19
Aq_sp_Aq107_00349,COG1629,,,PF13715.7
Aq_sp_Aq107_00351,COG1629,,,PF13715.7
Aq_sp_Aq107_00352,COG2849,,,PF07661.14
Aq_sp_Aq107_00353,COG0306,,,PF01384.21
Aq_sp_Aq107_00354,COG0745,,K07668,PF00072.25
Aq_sp_Aq107_00355,COG5002,,K07636,PF02518.27
Aq_sp_Aq107_00356,COG0220,,K03439,PF08241.13
Aq_sp_Aq107_00358,COG3695,,K07443,PF01035.21
Aq_sp_Aq107_00359,,,,PF13505.7
Aq_sp_Aq107_00360,COG0489,,K03593,PF13614.7
Aq_sp_Aq107_00361,COG0694,,,PF01106.18
Aq_sp_Aq107_00363,,,K11941,PF01757.23
Aq_sp_Aq107_00364,COG2207,,,PF12833.8
Aq_sp_Aq107_00365,,,,PF12850.8
Aq_sp_Aq107_00367,COG0644,,,PF01266.25
Aq_sp_Aq107_00369,,,K17831,PF18417.2
Aq_sp_Aq107_00370,,,,PF00264.21
Aq_sp_Aq107_00372,COG3329,,,PF05982.13
Aq_sp_Aq107_00373,COG0583,,K21703,PF00126.28
Aq_sp_Aq107_00375,COG0591,,,PF00474.18
Aq_sp_Aq107_00376,,,,PF01510.26
Aq_sp_Aq107_00381,,,,PF00515.29
Aq_sp_Aq107_00382,COG0596,,,PF00561.21
Aq_sp_Aq107_00383,COG2197,,,PF00072.25
Aq_sp_Aq107_00384,COG2885,,,PF00691.21
Aq_sp_Aq107_00387,,,,PF15648.7
Aq_sp_Aq107_00388,COG0624,,,PF07687.15
Aq_sp_Aq107_00389,COG3682,,,PF03965.17
Aq_sp_Aq107_00390,COG4219,,,PF05569.12
Aq_sp_Aq107_00391,,,,PF14362.7
Aq_sp_Aq107_00392,COG0665,,K00285,PF01266.25
Aq_sp_Aq107_00393,COG3938,,K12658,PF01678.20
Aq_sp_Aq107_00394,COG1012,,,PF00171.23
Aq_sp_Aq107_00395,COG0329,,,PF00701.23
Aq_sp_Aq107_00396,COG2207,,,PF02311.20
Aq_sp_Aq107_00397,COG0249,,,PF00488.22
Aq_sp_Aq107_00398,COG2315,,,PF04237.14
Aq_sp_Aq107_00399,,,,PF00583.26
Aq_sp_Aq107_00400,,,,PF14014.7
Aq_sp_Aq107_00401,,,,PF14079.7
Aq_sp_Aq107_00402,COG1878,,,PF04199.14
Aq_sp_Aq107_00403,COG0635,,K02495,PF06969.17
Aq_sp_Aq107_00405,COG0817,,,PF02075.18
Aq_sp_Aq107_00407,COG4783,,,PF12895.8
Aq_sp_Aq107_00408,COG3682,,,PF03965.17
Aq_sp_Aq107_00409,COG4219,,,PF05569.12
Aq_sp_Aq107_00410,COG4219,,,PF05569.12
Aq_sp_Aq107_00412,COG2839,,,PF04306.14
Aq_sp_Aq107_00413,COG1721,,,PF01882.19
Aq_sp_Aq107_00414,COG3118,,,PF08534.11
Aq_sp_Aq107_00415,,,,PF13435.7
Aq_sp_Aq107_00417,,,,PF00515.29
Aq_sp_Aq107_00418,,,,PF01289.20
Aq_sp_Aq107_00419,COG1595,,,PF04542.15
Aq_sp_Aq107_00421,COG0587,,,PF07733.13
Aq_sp_Aq107_00423,COG0228,,,PF00886.20
Aq_sp_Aq107_00424,COG0806,,K02860,PF01782.19
Aq_sp_Aq107_00425,COG4123,,K15460,PF13649.7
Aq_sp_Aq107_00427,COG1960,,K18244,PF00441.25
Aq_sp_Aq107_00428,COG0584,,K01126,PF03009.18
Aq_sp_Aq107_00429,COG2081,,,PF01266.25
Aq_sp_Aq107_00430,COG3797,,,PF08002.12
Aq_sp_Aq107_00432,COG1309,,,PF16295.6
Aq_sp_Aq107_00433,COG3476,,K05770,PF03073.16
Aq_sp_Aq107_00434,COG3407,,,PF18376.2
Aq_sp_Aq107_00435,COG1577,,,
Aq_sp_Aq107_00436,COG0382,,,PF01040.19
Aq_sp_Aq107_00438,COG0388,,,PF00795.23
Aq_sp_Aq107_00439,COG1187,,K06178,PF00849.23
Aq_sp_Aq107_00440,,,,PF13672.7
Aq_sp_Aq107_00441,COG0596,,,PF00561.21
Aq_sp_Aq107_00444,COG1215,GT2,,PF00535.27
Aq_sp_Aq107_00445,COG0463,GT2_Glycos_transf_2,,PF00535.27
Aq_sp_Aq107_00446,COG2849,,,
Aq_sp_Aq107_00447,COG0642,,,PF02518.27
Aq_sp_Aq107_00448,COG0642,,,PF02518.27
Aq_sp_Aq107_00449,COG1145,,,PF00037.28
Aq_sp_Aq107_00450,COG0446,,,PF01266.25
Aq_sp_Aq107_00451,,,,PF04784.15
Aq_sp_Aq107_00453,,GH113,,PF13547.7
Aq_sp_Aq107_00455,COG4775,,,PF07244.16
Aq_sp_Aq107_00456,COG4775,,,
Aq_sp_Aq107_00457,COG1309,,,PF00440.24
Aq_sp_Aq107_00458,COG3558,,,PF07080.12
Aq_sp_Aq107_00459,COG0596,,,PF00561.21
Aq_sp_Aq107_00460,COG1182,,K01118,PF02525.18
Aq_sp_Aq107_00461,COG2084,,K19647,PF02826.20
Aq_sp_Aq107_00462,COG2207,,,PF12833.8
Aq_sp_Aq107_00463,COG2353,,,PF04264.14
Aq_sp_Aq107_00466,COG2207,,,PF12833.8
Aq_sp_Aq107_00467,COG0463,GT2_Glycos_transf_2,,PF00535.27
Aq_sp_Aq107_00468,,,,PF04784.15
Aq_sp_Aq107_00469,COG1902,,,PF00724.21
Aq_sp_Aq107_00470,COG2226,,,PF08241.13
Aq_sp_Aq107_00471,COG0005,,K03783,PF01048.21
Aq_sp_Aq107_00472,COG3222,,,PF01983.17
Aq_sp_Aq107_00473,COG0607,,,PF00581.21
Aq_sp_Aq107_00474,COG3222,,,PF09837.10
Aq_sp_Aq107_00475,COG0535,,,PF12345.9
Aq_sp_Aq107_00476,COG0599,,,PF02627.21
Aq_sp_Aq107_00477,COG1472,GH3,,PF14310.7
Aq_sp_Aq107_00478,COG1472,GH3,,PF14310.7
Aq_sp_Aq107_00479,,,,PF00196.20
Aq_sp_Aq107_00480,COG1609,,,PF00356.22
Aq_sp_Aq107_00481,COG1554,GH65,,PF03632.16
Aq_sp_Aq107_00482,COG1609,,K02529,PF00356.22
Aq_sp_Aq107_00483,COG0366,GH13_31,,PF00128.25
Aq_sp_Aq107_00484,COG1629,,K21573,PF13715.7
Aq_sp_Aq107_00485,,,K21572,PF12771.8
Aq_sp_Aq107_00486,,,,PF01839.24
Aq_sp_Aq107_00487,,,,PF01839.24
Aq_sp_Aq107_00488,,,,PF01839.24
Aq_sp_Aq107_00489,,,,PF01569.22
Aq_sp_Aq107_00491,COG0671,,,PF01569.22
Aq_sp_Aq107_00492,COG1521,,K03525,PF03309.15
Aq_sp_Aq107_00493,COG2067,,,PF13505.7
Aq_sp_Aq107_00494,,,,PF00515.29
Aq_sp_Aq107_00495,,,,PF06835.14
Aq_sp_Aq107_00496,COG1253,,,PF00571.29
Aq_sp_Aq107_00497,COG0760,,,PF00639.22
Aq_sp_Aq107_00498,COG1087,,K01784,PF01073.20
Aq_sp_Aq107_00499,COG4146,,K03307,PF00474.18
Aq_sp_Aq107_00500,COG0554,,,PF01266.25
Aq_sp_Aq107_00501,COG3345,GH36,,PF02065.19
Aq_sp_Aq107_00502,,,,PF01839.24
Aq_sp_Aq107_00503,,,,PF14322.7
Aq_sp_Aq107_00504,COG1629,,,PF13715.7
Aq_sp_Aq107_00505,COG1725,,,PF00392.22
Aq_sp_Aq107_00506,COG1956,,K08968,PF01590.27
Aq_sp_Aq107_00507,COG3696,,,PF00873.20
Aq_sp_Aq107_00508,COG1538,,,PF02321.19
Aq_sp_Aq107_00509,,,,PF11827.9
Aq_sp_Aq107_00510,COG2608,,,PF00403.27
Aq_sp_Aq107_00511,,,,PF03929.17
Aq_sp_Aq107_00512,COG0845,,,PF00364.23
Aq_sp_Aq107_00513,COG2173,,,PF01427.18
Aq_sp_Aq107_00515,COG2225,,K01638,PF01274.23
Aq_sp_Aq107_00516,COG3800,,,PF12844.8
Aq_sp_Aq107_00518,COG0459,,,PF00118.25
Aq_sp_Aq107_00519,COG0234,,,PF00166.22
Aq_sp_Aq107_00520,,,,PF03840.15
Aq_sp_Aq107_00522,,,,PF04390.13
Aq_sp_Aq107_00523,COG2204,,,PF07728.15
Aq_sp_Aq107_00524,COG0621,,K06168,PF04055.22
Aq_sp_Aq107_00526,COG0550,,,PF01131.21
Aq_sp_Aq107_00527,COG0010,,,PF00491.22
Aq_sp_Aq107_00528,COG1262,,,PF03781.17
Aq_sp_Aq107_00530,,,,PF12080.9
Aq_sp_Aq107_00532,COG0665,,,PF01266.25
Aq_sp_Aq107_00533,COG0488,,K06158,PF13175.7
Aq_sp_Aq107_00534,COG1846,,,PF13463.7
Aq_sp_Aq107_00535,COG0845,,,PF13533.7
Aq_sp_Aq107_00536,COG0841,,K07788,PF00873.20
Aq_sp_Aq107_00537,COG1538,,K12340,PF02321.19
Aq_sp_Aq107_00538,COG0784,,K11355,PF00072.25
Aq_sp_Aq107_00539,,,,PF07700.16
Aq_sp_Aq107_00540,COG4251,,K11354,PF02518.27
Aq_sp_Aq107_00541,COG3287,,,PF08495.11
Aq_sp_Aq107_00542,COG4251,,,PF02518.27
Aq_sp_Aq107_00543,COG3287,,,PF08495.11
Aq_sp_Aq107_00544,COG0642,,,PF02518.27
Aq_sp_Aq107_00546,COG3279,,K02477,PF04397.16
Aq_sp_Aq107_00547,,,,PF13448.7
Aq_sp_Aq107_00548,COG0457,,,PF00515.29
Aq_sp_Aq107_00549,,,,PF01740.22
Aq_sp_Aq107_00551,COG2244,,,PF01943.18
Aq_sp_Aq107_00552,COG0438,,,PF00534.21
Aq_sp_Aq107_00553,COG3934,GH5_42,,PF00150.19
Aq_sp_Aq107_00555,COG5617,,,
Aq_sp_Aq107_00556,COG0463,GT2_Glycos_transf_2,,PF00535.27
Aq_sp_Aq107_00557,COG1482,,K01809,PF07883.12
Aq_sp_Aq107_00558,COG0473,,,PF00180.21
Aq_sp_Aq107_00559,COG0119,,K01649,PF00682.20
Aq_sp_Aq107_00560,COG0066,,K01704,PF00694.20
Aq_sp_Aq107_00561,COG0065,,K01703,PF00330.21
Aq_sp_Aq107_00565,,,,PF14065.7
Aq_sp_Aq107_00567,COG3497,,,PF04984.15
Aq_sp_Aq107_00568,,,,PF06841.13
Aq_sp_Aq107_00569,,,,PF06841.13
Aq_sp_Aq107_00570,,,,PF06841.13
Aq_sp_Aq107_00572,COG3500,,,PF04717.13
Aq_sp_Aq107_00573,COG3628,,,PF04965.15
Aq_sp_Aq107_00575,,,,PF04865.15
Aq_sp_Aq107_00576,COG4675,,,
Aq_sp_Aq107_00577,COG4675,,,
Aq_sp_Aq107_00580,COG0464,,,PF00004.30
Aq_sp_Aq107_00581,,,,PF13699.7
Aq_sp_Aq107_00584,COG1492,,K02232,PF13500.7
Aq_sp_Aq107_00585,COG0079,,K04720,PF00155.22
