row_0,CAZyme
Aq_sp_Aq349_00162,PF06580.14
Aq_sp_Aq349_00164,PF01400.25
Aq_sp_Aq349_00166,PF00023.31
Aq_sp_Aq349_00167,PF00141.24
Aq_sp_Aq349_00168,PF12844.8
Aq_sp_Aq349_00170,PF01325.20
Aq_sp_Aq349_00171,PF00583.26
Aq_sp_Aq349_00172,PF00583.26
Aq_sp_Aq349_00177,PF02518.27
Aq_sp_Aq349_00178,PF00196.20
Aq_sp_Aq349_00179,PF00309.21
Aq_sp_Aq349_00181,PF13568.7
Aq_sp_Aq349_00182,PF02472.17
Aq_sp_Aq349_00183,PF02472.17
Aq_sp_Aq349_00184,PF02472.17
Aq_sp_Aq349_00185,PF02472.17
Aq_sp_Aq349_00187,PF01618.17
Aq_sp_Aq349_00188,PF00710.21
Aq_sp_Aq349_00189,PF01026.22
Aq_sp_Aq349_00191,PF04542.15
Aq_sp_Aq349_00193,PF00801.21
Aq_sp_Aq349_00194,PF12770.8
Aq_sp_Aq349_00195,PF13650.7
Aq_sp_Aq349_00196,PF02911.19
Aq_sp_Aq349_00197,PF07484.13
Aq_sp_Aq349_00198,PF07484.13
Aq_sp_Aq349_00200,PF19078.1
Aq_sp_Aq349_00201,PF11751.9
Aq_sp_Aq349_00202,PF02687.22
Aq_sp_Aq349_00203,PF01808.19
Aq_sp_Aq349_00204,PF00022.20
Aq_sp_Aq349_00205,PF04085.15
Aq_sp_Aq349_00207,PF03717.16
Aq_sp_Aq349_00208,PF01098.20
Aq_sp_Aq349_00209,PF01223.24
Aq_sp_Aq349_00210,PF13462.7
Aq_sp_Aq349_00211,PF00528.23
Aq_sp_Aq349_00212,PF11818.9
Aq_sp_Aq349_00213,PF01975.18
Aq_sp_Aq349_00215,GT19
Aq_sp_Aq349_00216,PF02518.27
Aq_sp_Aq349_00217,PF00877.20
Aq_sp_Aq349_00218,PF03772.17
Aq_sp_Aq349_00219,PF00144.25
Aq_sp_Aq349_00220,PF00085.21
Aq_sp_Aq349_00221,PF07690.17
Aq_sp_Aq349_00222,PF07690.17
Aq_sp_Aq349_00223,PF00930.22
Aq_sp_Aq349_00224,PF00368.19
Aq_sp_Aq349_00225,COG1577
Aq_sp_Aq349_00226,PF14394.7
Aq_sp_Aq349_00227,PF00753.28
Aq_sp_Aq349_00228,PF07690.17
Aq_sp_Aq349_00229,PF00266.20
Aq_sp_Aq349_00230,PF00198.24
Aq_sp_Aq349_00231,PF16078.6
Aq_sp_Aq349_00235,PF00348.18
Aq_sp_Aq349_00236,PF00440.24
Aq_sp_Aq349_00237,PF02321.19
Aq_sp_Aq349_00238,PF00364.23
Aq_sp_Aq349_00239,PF00873.20
Aq_sp_Aq349_00241,PF02518.27
Aq_sp_Aq349_00242,PF04397.16
Aq_sp_Aq349_00248,PF00041.22
Aq_sp_Aq349_00249,PF18962.1
Aq_sp_Aq349_00250,PF14322.7
Aq_sp_Aq349_00251,PF13715.7
Aq_sp_Aq349_00252,PF02938.15
Aq_sp_Aq349_00253,PF00571.29
Aq_sp_Aq349_00254,PF00313.23
Aq_sp_Aq349_00255,PF00383.24
Aq_sp_Aq349_00256,PF06267.13
Aq_sp_Aq349_00257,PF13292.7
Aq_sp_Aq349_00258,PF13648.7
Aq_sp_Aq349_00259,PF13648.7
Aq_sp_Aq349_00260,PF01966.23
Aq_sp_Aq349_00261,PF03477.17
Aq_sp_Aq349_00262,PF00268.22
Aq_sp_Aq349_00263,PF11307.9
Aq_sp_Aq349_00264,PF01914.18
Aq_sp_Aq349_00265,PF13180.7
Aq_sp_Aq349_00266,PF00383.24
Aq_sp_Aq349_00267,PF13795.7
Aq_sp_Aq349_00272,PF13304.7
Aq_sp_Aq349_00273,PF13229.7
Aq_sp_Aq349_00274,PF05573.13
Aq_sp_Aq349_00276,PF18764.2
Aq_sp_Aq349_00277,PF02469.23
Aq_sp_Aq349_00278,PF00034.22
Aq_sp_Aq349_00279,PF00578.22
Aq_sp_Aq349_00280,PF03781.17
Aq_sp_Aq349_00281,PF00394.23
Aq_sp_Aq349_00282,PF02082.21
Aq_sp_Aq349_00283,PF00115.21
Aq_sp_Aq349_00284,PF01814.24
Aq_sp_Aq349_00285,PF14595.7
Aq_sp_Aq349_00286,PF00890.25
Aq_sp_Aq349_00287,PF02445.17
Aq_sp_Aq349_00289,COG1629
Aq_sp_Aq349_00291,PF02082.21
Aq_sp_Aq349_00293,PF13597.7
Aq_sp_Aq349_00294,PF13353.7
Aq_sp_Aq349_00295,PF04397.16
Aq_sp_Aq349_00296,PF06580.14
Aq_sp_Aq349_00298,PF12895.8
Aq_sp_Aq349_00300,PF00930.22
Aq_sp_Aq349_00301,PF03929.17
Aq_sp_Aq349_00303,PF13715.7
Aq_sp_Aq349_00304,PF00550.26
Aq_sp_Aq349_00305,PF01593.25
Aq_sp_Aq349_00306,PF00106.26
Aq_sp_Aq349_00307,PF00109.27
Aq_sp_Aq349_00308,PF00109.27
Aq_sp_Aq349_00309,PF07977.14
Aq_sp_Aq349_00310,PF14329.7
Aq_sp_Aq349_00311,PF00550.26
Aq_sp_Aq349_00312,PF01648.21
Aq_sp_Aq349_00313,PF01676.19
Aq_sp_Aq349_00314,PF00698.22
Aq_sp_Aq349_00315,PF00109.27
Aq_sp_Aq349_00316,PF00550.26
Aq_sp_Aq349_00317,PF00753.28
Aq_sp_Aq349_00318,PF00698.22
Aq_sp_Aq349_00320,PF00378.21
Aq_sp_Aq349_00321,PF08540.11
Aq_sp_Aq349_00322,PF00266.20
Aq_sp_Aq349_00323,PF02353.21
Aq_sp_Aq349_00324,PF00155.22
Aq_sp_Aq349_00325,PF09719.11
Aq_sp_Aq349_00326,PF01073.20
Aq_sp_Aq349_00328,PF00106.26
Aq_sp_Aq349_00329,PF00378.21
Aq_sp_Aq349_00331,PF01266.25
Aq_sp_Aq349_00332,PF07044.12
Aq_sp_Aq349_00333,PF03176.16
Aq_sp_Aq349_00334,PF16197.6
Aq_sp_Aq349_00335,PF00202.22
Aq_sp_Aq349_00336,PF00106.26
Aq_sp_Aq349_00337,PF02357.20
Aq_sp_Aq349_00338,PF00156.28
Aq_sp_Aq349_00339,PF01386.20
Aq_sp_Aq349_00340,PF01195.20
Aq_sp_Aq349_00341,PF01467.27
Aq_sp_Aq349_00342,PF05090.15
Aq_sp_Aq349_00343,PF07730.14
Aq_sp_Aq349_00344,PF02403.23
Aq_sp_Aq349_00345,PF12895.8
Aq_sp_Aq349_00346,PF14114.7
Aq_sp_Aq349_00347,PF00398.21
Aq_sp_Aq349_00348,PF00571.29
Aq_sp_Aq349_00349,PF03061.23
Aq_sp_Aq349_00350,PF10988.9
Aq_sp_Aq349_00351,PF16403.6
Aq_sp_Aq349_00352,PF00515.29
Aq_sp_Aq349_00353,PF05658.15
Aq_sp_Aq349_00354,PF00389.31
Aq_sp_Aq349_00355,COG4339
Aq_sp_Aq349_00356,PF00196.20
Aq_sp_Aq349_00357,PF13858.7
Aq_sp_Aq349_00358,PF08818.12
Aq_sp_Aq349_00359,PF00903.26
Aq_sp_Aq349_00361,PF05154.17
Aq_sp_Aq349_00362,PF12840.8
Aq_sp_Aq349_00364,PF00583.26
Aq_sp_Aq349_00365,PF01451.22
Aq_sp_Aq349_00366,PF00924.19
Aq_sp_Aq349_00367,PF13444.7
Aq_sp_Aq349_00368,PF00696.29
Aq_sp_Aq349_00369,PF00583.26
Aq_sp_Aq349_00370,PF00316.21
Aq_sp_Aq349_00373,PF00025.22
Aq_sp_Aq349_00374,PF02518.27
Aq_sp_Aq349_00375,PF05099.14
Aq_sp_Aq349_00376,PF13385.7
Aq_sp_Aq349_00377,PF00266.20
Aq_sp_Aq349_00378,PF02559.17
Aq_sp_Aq349_00381,PF12844.8
Aq_sp_Aq349_00382,PF00144.25
Aq_sp_Aq349_00383,PF08450.13
Aq_sp_Aq349_00384,PF12833.8
Aq_sp_Aq349_00385,PF03415.15
Aq_sp_Aq349_00386,PF12833.8
Aq_sp_Aq349_00387,PF12833.8
Aq_sp_Aq349_00388,GCBM13
Aq_sp_Aq349_00389,PF02021.18
Aq_sp_Aq349_00390,PF02016.16
Aq_sp_Aq349_00391,PF08811.12
Aq_sp_Aq349_00392,PF07394.13
Aq_sp_Aq349_00393,PF08264.14
Aq_sp_Aq349_00394,PF00850.20
Aq_sp_Aq349_00396,PF01243.21
Aq_sp_Aq349_00397,PF00571.29
Aq_sp_Aq349_00398,PF04389.18
Aq_sp_Aq349_00399,PF13085.7
Aq_sp_Aq349_00400,PF01266.25
Aq_sp_Aq349_00401,PF01127.23
Aq_sp_Aq349_00402,PF00155.22
Aq_sp_Aq349_00403,PF00817.21
Aq_sp_Aq349_00404,PF01928.22
Aq_sp_Aq349_00405,PF08239.12
Aq_sp_Aq349_00407,COG4753
Aq_sp_Aq349_00408,PF02518.27
Aq_sp_Aq349_00409,PF03924.14
Aq_sp_Aq349_00410,COG2350
Aq_sp_Aq349_00411,PF00041.22
Aq_sp_Aq349_00412,GT51
Aq_sp_Aq349_00413,PF00149.29
Aq_sp_Aq349_00414,PF02872.19
Aq_sp_Aq349_00415,PF03992.17
Aq_sp_Aq349_00417,PF00207.23
Aq_sp_Aq349_00419,PF01112.19
Aq_sp_Aq349_00420,PF13676.7
Aq_sp_Aq349_00421,PF00004.30
Aq_sp_Aq349_00422,PF05257.17
Aq_sp_Aq349_00424,PF13699.7
Aq_sp_Aq349_00426,PF13699.7
Aq_sp_Aq349_00431,PF00801.21
Aq_sp_Aq349_00433,PF04865.15
Aq_sp_Aq349_00434,PF04965.15
Aq_sp_Aq349_00435,PF05488.14
Aq_sp_Aq349_00436,PF04717.13
Aq_sp_Aq349_00438,PF06841.13
Aq_sp_Aq349_00439,PF06841.13
Aq_sp_Aq349_00440,PF04984.15
Aq_sp_Aq349_00442,PF14065.7
Aq_sp_Aq349_00443,PF04055.22
Aq_sp_Aq349_00444,PF01966.23
Aq_sp_Aq349_00445,PF03405.15
Aq_sp_Aq349_00446,PF01553.22
Aq_sp_Aq349_00447,PF06491.12
Aq_sp_Aq349_00448,PF00226.32
Aq_sp_Aq349_00450,PF13424.7
Aq_sp_Aq349_00453,PF05834.13
Aq_sp_Aq349_00454,PF00535.27
Aq_sp_Aq349_00455,PF00892.21
Aq_sp_Aq349_00456,PF07664.13
Aq_sp_Aq349_00458,PF00144.25
Aq_sp_Aq349_00459,PF02630.15
Aq_sp_Aq349_00460,PF00595.25
Aq_sp_Aq349_00461,PF01344.26
Aq_sp_Aq349_00462,PF19081.1
Aq_sp_Aq349_00465,PF00072.25
Aq_sp_Aq349_00466,PF00515.29
Aq_sp_Aq349_00467,PF00515.29
Aq_sp_Aq349_00469,PF00027.30
Aq_sp_Aq349_00470,PF12833.8
Aq_sp_Aq349_00471,PF04993.14
Aq_sp_Aq349_00472,PF09365.11
Aq_sp_Aq349_00473,COG3324
Aq_sp_Aq349_00475,PF02353.21
Aq_sp_Aq349_00476,PF08241.13
Aq_sp_Aq349_00477,PF08279.13
Aq_sp_Aq349_00478,PF08327.12
Aq_sp_Aq349_00479,PF00583.26
Aq_sp_Aq349_00480,PF09685.11
Aq_sp_Aq349_00481,PF00144.25
Aq_sp_Aq349_00482,PF00440.24
Aq_sp_Aq349_00483,PF00440.24
Aq_sp_Aq349_00484,PF00561.21
Aq_sp_Aq349_00485,PF00583.26
Aq_sp_Aq349_00487,PF00027.30
Aq_sp_Aq349_00488,PF00753.28
Aq_sp_Aq349_00489,PF00583.26
Aq_sp_Aq349_00490,PF13531.7
Aq_sp_Aq349_00491,PF03459.18
Aq_sp_Aq349_00492,PF00528.23
Aq_sp_Aq349_00493,PF13304.7
Aq_sp_Aq349_00494,PF19077.1
Aq_sp_Aq349_00496,PF13474.7
Aq_sp_Aq349_00497,PF00702.27
Aq_sp_Aq349_00498,PF14905.7
Aq_sp_Aq349_00499,PF02565.16
Aq_sp_Aq349_00500,PF13590.7
Aq_sp_Aq349_00501,PF00208.22
Aq_sp_Aq349_00502,PF00155.22
Aq_sp_Aq349_00503,PF11738.9
Aq_sp_Aq349_00504,PF12867.8
Aq_sp_Aq349_00505,PF03960.16
Aq_sp_Aq349_00506,PF00892.21
Aq_sp_Aq349_00507,PF13279.7
Aq_sp_Aq349_00508,PF01062.22
Aq_sp_Aq349_00509,PF00561.21
Aq_sp_Aq349_00510,GH18+CBM12+CBM5
Aq_sp_Aq349_00511,PF00041.22
Aq_sp_Aq349_00512,PF00041.22
Aq_sp_Aq349_00513,PF10108.10
Aq_sp_Aq349_00514,PF00144.25
Aq_sp_Aq349_00515,PF01035.21
Aq_sp_Aq349_00516,PF00571.29
Aq_sp_Aq349_00517,PF05163.13
Aq_sp_Aq349_00518,COG4654
Aq_sp_Aq349_00520,PF00490.22
Aq_sp_Aq349_00521,PF13304.7
Aq_sp_Aq349_00522,PF12730.8
Aq_sp_Aq349_00523,PF13715.7
Aq_sp_Aq349_00525,PF13304.7
Aq_sp_Aq349_00526,PF02687.22
Aq_sp_Aq349_00527,PF02687.22
Aq_sp_Aq349_00528,PF02687.22
Aq_sp_Aq349_00529,PF02687.22
Aq_sp_Aq349_00530,PF02687.22
Aq_sp_Aq349_00531,PF02687.22
Aq_sp_Aq349_00532,PF02687.22
Aq_sp_Aq349_00533,PF02687.22
Aq_sp_Aq349_00534,PF02687.22
Aq_sp_Aq349_00535,PF02687.22
Aq_sp_Aq349_00536,PF02687.22
Aq_sp_Aq349_00537,PF10988.9
Aq_sp_Aq349_00538,PF13304.7
Aq_sp_Aq349_00539,PF13533.7
Aq_sp_Aq349_00540,PF02321.19
Aq_sp_Aq349_00541,PF00004.30
Aq_sp_Aq349_00542,PF02518.27
Aq_sp_Aq349_00545,PF01218.19
Aq_sp_Aq349_00546,PF07264.12
Aq_sp_Aq349_00548,PF01208.18
Aq_sp_Aq349_00549,PF02602.16
Aq_sp_Aq349_00550,PF01379.21
Aq_sp_Aq349_00551,PF00745.21
Aq_sp_Aq349_00552,PF12833.8
Aq_sp_Aq349_00553,PF00762.20
Aq_sp_Aq349_00554,PF01554.19
Aq_sp_Aq349_00555,PF12893.8
Aq_sp_Aq349_00556,PF07995.12
Aq_sp_Aq349_00557,PF12833.8
Aq_sp_Aq349_00558,PF02012.21
Aq_sp_Aq349_00559,PF03572.19
Aq_sp_Aq349_00561,PF12833.8
Aq_sp_Aq349_00562,PF03653.14
Aq_sp_Aq349_00563,PF00583.26
Aq_sp_Aq349_00564,PF08340.12
Aq_sp_Aq349_00565,PF13238.7
Aq_sp_Aq349_00566,PF01467.27
Aq_sp_Aq349_00567,PF00378.21
Aq_sp_Aq349_00568,PF02518.27
Aq_sp_Aq349_00569,PF13304.7
Aq_sp_Aq349_00570,PF01144.24
Aq_sp_Aq349_00572,PF10417.10
Aq_sp_Aq349_00573,PF01144.24
Aq_sp_Aq349_00574,GT51
Aq_sp_Aq349_00575,PF14109.7
Aq_sp_Aq349_00576,PF04468.13
Aq_sp_Aq349_00577,PF00581.21
Aq_sp_Aq349_00578,PF13479.7
Aq_sp_Aq349_00580,PF03395.15
Aq_sp_Aq349_00581,PF13568.7
Aq_sp_Aq349_00582,PF01553.22
Aq_sp_Aq349_00583,PF00579.26
Aq_sp_Aq349_00586,PF00028.18
Aq_sp_Aq349_00587,PF02985.23
Aq_sp_Aq349_00591,PF00440.24
Aq_sp_Aq349_00594,PF02912.19
Aq_sp_Aq349_00595,PF00583.26
Aq_sp_Aq349_00596,PF05960.12
Aq_sp_Aq349_00597,PF12833.8
Aq_sp_Aq349_00600,PF02655.15
Aq_sp_Aq349_00601,PF14402.7
Aq_sp_Aq349_00602,PF04542.15
Aq_sp_Aq349_00603,PF16344.6
Aq_sp_Aq349_00604,PF13715.7
Aq_sp_Aq349_00606,PF02674.17
Aq_sp_Aq349_00607,PF01740.22
Aq_sp_Aq349_00608,PF00484.20
Aq_sp_Aq349_00609,PF16983.6
Aq_sp_Aq349_00611,PF08239.12
Aq_sp_Aq349_00612,PF13584.7
Aq_sp_Aq349_00613,PF12895.8
Aq_sp_Aq349_00614,PF00092.29
Aq_sp_Aq349_00615,PF07584.12
Aq_sp_Aq349_00617,PF01882.19
Aq_sp_Aq349_00618,PF07726.12
Aq_sp_Aq349_00619,PF00106.26
Aq_sp_Aq349_00620,PF04326.15
Aq_sp_Aq349_00621,PF00149.29
Aq_sp_Aq349_00623,PF13972.7
Aq_sp_Aq349_00624,PF00561.21
Aq_sp_Aq349_00625,PF07695.12
Aq_sp_Aq349_00626,PF04397.16
Aq_sp_Aq349_00631,PF13586.7
Aq_sp_Aq349_00632,PF13340.7
Aq_sp_Aq349_00633,PF12740.8
Aq_sp_Aq349_00635,PF12740.8
Aq_sp_Aq349_00637,PF01145.26
Aq_sp_Aq349_00640,PF18962.1
Aq_sp_Aq349_00642,PF00171.23
Aq_sp_Aq349_00643,PF01650.19
Aq_sp_Aq349_00645,PF07479.15
Aq_sp_Aq349_00646,PF12680.8
Aq_sp_Aq349_00647,PF00581.21
Aq_sp_Aq349_00648,GH3
Aq_sp_Aq349_00649,PF09844.10
Aq_sp_Aq349_00651,PF12388.9
Aq_sp_Aq349_00652,PF13474.7
Aq_sp_Aq349_00653,PF01609.22
Aq_sp_Aq349_00655,PF05593.15
Aq_sp_Aq349_00656,PF00801.21
Aq_sp_Aq349_00657,PF18962.1
Aq_sp_Aq349_00659,PF12844.8
Aq_sp_Aq349_00660,PF10579.10
Aq_sp_Aq349_00662,PF14094.7
Aq_sp_Aq349_00668,PF00753.28
Aq_sp_Aq349_00669,PF13601.7
Aq_sp_Aq349_00671,PF04397.16
Aq_sp_Aq349_00672,PF00775.22
Aq_sp_Aq349_00674,PF02517.17
Aq_sp_Aq349_00676,PF01037.22
Aq_sp_Aq349_00677,PF00583.26
Aq_sp_Aq349_00679,PF00561.21
Aq_sp_Aq349_00683,PF08241.13
Aq_sp_Aq349_00685,PF09965.10
Aq_sp_Aq349_00686,PF05076.14
Aq_sp_Aq349_00691,PF13304.7
Aq_sp_Aq349_00696,PF14329.7
Aq_sp_Aq349_00697,PF00805.23
Aq_sp_Aq349_00698,PF00300.23
Aq_sp_Aq349_00700,PF00144.25
Aq_sp_Aq349_00701,PF02517.17
Aq_sp_Aq349_00702,PF09844.10
Aq_sp_Aq349_00708,PF00561.21
Aq_sp_Aq349_00709,PF00930.22
Aq_sp_Aq349_00710,PF14526.7
Aq_sp_Aq349_00711,PF04116.14
Aq_sp_Aq349_00713,PF12833.8
Aq_sp_Aq349_00715,PF02481.16
Aq_sp_Aq349_00716,PF18174.2
Aq_sp_Aq349_00717,PF03061.23
Aq_sp_Aq349_00718,PF00109.27
Aq_sp_Aq349_00719,PF00440.24
Aq_sp_Aq349_00720,PF01551.23
Aq_sp_Aq349_00721,PF14125.7
Aq_sp_Aq349_00722,PF12895.8
Aq_sp_Aq349_00723,PF00132.25
Aq_sp_Aq349_00724,PF00692.20
Aq_sp_Aq349_00725,PF01554.19
Aq_sp_Aq349_00726,PF09127.12
Aq_sp_Aq349_00728,PF00231.20
Aq_sp_Aq349_00729,PF00006.26
Aq_sp_Aq349_00730,PF00213.19
Aq_sp_Aq349_00731,PF00430.19
Aq_sp_Aq349_00732,PF00137.22
Aq_sp_Aq349_00733,PF00119.21
Aq_sp_Aq349_00734,PF04519.14
Aq_sp_Aq349_00735,PF14559.7
Aq_sp_Aq349_00736,PF12833.8
Aq_sp_Aq349_00738,PF13304.7
Aq_sp_Aq349_00739,PF18940.1
Aq_sp_Aq349_00740,PF00970.25
Aq_sp_Aq349_00741,GT9
Aq_sp_Aq349_00742,PF14063.7
Aq_sp_Aq349_00743,COG0474
Aq_sp_Aq349_00745,PF02655.15
Aq_sp_Aq349_00746,PF04932.16
Aq_sp_Aq349_00747,PF02397.17
Aq_sp_Aq349_00748,PF01073.20
Aq_sp_Aq349_00749,PF03807.18
Aq_sp_Aq349_00750,PF01073.20
Aq_sp_Aq349_00751,PF01370.22
Aq_sp_Aq349_00752,GT4
Aq_sp_Aq349_00753,PF01073.20
Aq_sp_Aq349_00754,PF08241.13
Aq_sp_Aq349_00755,PF04932.16
Aq_sp_Aq349_00756,PF04932.16
Aq_sp_Aq349_00757,PF07388.12
Aq_sp_Aq349_00758,PF01943.18
Aq_sp_Aq349_00759,PF00132.25
Aq_sp_Aq349_00761,PF00117.29
Aq_sp_Aq349_00762,PF01207.18
Aq_sp_Aq349_00764,PF09359.11
Aq_sp_Aq349_00766,PF16316.6
Aq_sp_Aq349_00769,PF00106.26
Aq_sp_Aq349_00770,PF01408.23
Aq_sp_Aq349_00771,PF02348.20
Aq_sp_Aq349_00772,PF00571.29
Aq_sp_Aq349_00773,PF02350.20
Aq_sp_Aq349_00774,PF03102.15
Aq_sp_Aq349_00775,PF00132.25
Aq_sp_Aq349_00777,PF01041.18
Aq_sp_Aq349_00778,PF01370.22
Aq_sp_Aq349_00779,PF01370.22
Aq_sp_Aq349_00781,PF00908.18
Aq_sp_Aq349_00782,PF00483.24
Aq_sp_Aq349_00783,PF01073.20
Aq_sp_Aq349_00784,PF01238.22
Aq_sp_Aq349_00787,PF03321.14
Aq_sp_Aq349_00788,PF01551.23
Aq_sp_Aq349_00789,GH9
Aq_sp_Aq349_00790,PF12836.8
Aq_sp_Aq349_00791,PF16125.6
Aq_sp_Aq349_00792,GCBM50+GH23
Aq_sp_Aq349_00793,PF00162.20
Aq_sp_Aq349_00794,PF13177.7
Aq_sp_Aq349_00796,PF18962.1
Aq_sp_Aq349_00798,PF11751.9
Aq_sp_Aq349_00799,PF13585.7
Aq_sp_Aq349_00800,PF13585.7
Aq_sp_Aq349_00801,PF03938.15
Aq_sp_Aq349_00802,PF08241.13
Aq_sp_Aq349_00805,PF12831.8
Aq_sp_Aq349_00806,PF02130.18
Aq_sp_Aq349_00807,COG1196
Aq_sp_Aq349_00808,PF00487.25
