row_0,COG,CAZyme,KO,Pfam
Aq_sp_Aq349_00043,COG0566,,K03218,PF00588.20
Aq_sp_Aq349_00044,,,,PF00629.24
Aq_sp_Aq349_00045,COG2355,,,PF01244.22
Aq_sp_Aq349_00046,COG1428,,,PF01712.20
Aq_sp_Aq349_00047,COG1738,,,PF02592.16
Aq_sp_Aq349_00048,COG2982,,,PF13502.7
Aq_sp_Aq349_00049,,,K20138,PF01400.25
Aq_sp_Aq349_00054,,,,PF01810.19
Aq_sp_Aq349_00055,COG0076,,,PF00155.22
Aq_sp_Aq349_00056,,,,PF10977.9
Aq_sp_Aq349_00057,,,,PF03321.14
Aq_sp_Aq349_00059,COG1219,,K03544,PF00004.30
Aq_sp_Aq349_00060,COG0740,,K01358,PF00574.24
Aq_sp_Aq349_00061,COG0544,,K03545,PF05698.15
Aq_sp_Aq349_00062,COG1950,,,PF04020.14
Aq_sp_Aq349_00063,,,,PF13472.7
Aq_sp_Aq349_00064,COG2067,,K06076,PF13505.7
Aq_sp_Aq349_00065,COG0596,,K01175,PF00561.21
Aq_sp_Aq349_00066,COG0854,,K03474,PF03740.14
Aq_sp_Aq349_00067,,,,PF00571.29
Aq_sp_Aq349_00068,COG0061,,K00858,PF01513.22
Aq_sp_Aq349_00070,COG0020,,K00806,PF01255.20
Aq_sp_Aq349_00071,COG4775,,K07277,PF01103.24
Aq_sp_Aq349_00072,,,,PF03938.15
Aq_sp_Aq349_00073,COG2825,,,PF03938.15
Aq_sp_Aq349_00074,COG0796,,K01776,PF01177.23
Aq_sp_Aq349_00076,COG3279,,K02477,PF04397.16
Aq_sp_Aq349_00077,COG3275,,,PF06580.14
Aq_sp_Aq349_00079,,,,PF00581.21
Aq_sp_Aq349_00080,,,,PF11751.9
Aq_sp_Aq349_00081,COG0694,,,PF08712.12
Aq_sp_Aq349_00082,COG2207,,,PF02311.20
Aq_sp_Aq349_00083,COG0112,,K00600,PF00464.20
Aq_sp_Aq349_00084,COG1003,,K00281,PF01212.22
Aq_sp_Aq349_00085,COG0404,,K00605,PF01571.22
Aq_sp_Aq349_00086,COG0509,,K02437,PF01597.20
Aq_sp_Aq349_00087,COG3360,,,PF07311.13
Aq_sp_Aq349_00088,COG1331,,,PF13899.7
Aq_sp_Aq349_00091,COG1214,,,PF00814.26
Aq_sp_Aq349_00092,COG1566,,K13888,PF13533.7
Aq_sp_Aq349_00093,COG1538,,,PF02321.19
Aq_sp_Aq349_00094,COG0845,,,PF00364.23
Aq_sp_Aq349_00095,COG0577,,,PF02687.22
Aq_sp_Aq349_00096,COG0577,,,PF02687.22
Aq_sp_Aq349_00097,COG1136,,K02003,PF13304.7
Aq_sp_Aq349_00098,COG2322,,,PF10067.10
Aq_sp_Aq349_00099,COG1999,,,PF02630.15
Aq_sp_Aq349_00101,,,,PF03626.15
Aq_sp_Aq349_00102,COG1845,,,PF00510.19
Aq_sp_Aq349_00103,COG1845,,K02276,PF00510.19
Aq_sp_Aq349_00104,COG0109,,K02257,PF01040.19
Aq_sp_Aq349_00105,COG0491,,,PF00753.28
Aq_sp_Aq349_00106,,,,PF03544.15
Aq_sp_Aq349_00107,,,,PF03544.15
Aq_sp_Aq349_00108,COG5652,,,PF04892.13
Aq_sp_Aq349_00109,COG0509,,K02437,PF01597.20
Aq_sp_Aq349_00110,,,,PF14349.7
Aq_sp_Aq349_00111,COG0632,,K03550,PF00633.24
Aq_sp_Aq349_00112,COG0281,,K00029,PF00390.20
Aq_sp_Aq349_00113,COG1626,GH37,,PF01204.19
Aq_sp_Aq349_00114,COG0738,,,PF07690.17
Aq_sp_Aq349_00115,COG1629,,,PF13715.7
Aq_sp_Aq349_00116,COG1609,,,PF00356.22
Aq_sp_Aq349_00117,COG1600,,K18979,PF08331.11
Aq_sp_Aq349_00118,COG0668,,,PF00924.19
Aq_sp_Aq349_00124,COG1595,,,
Aq_sp_Aq349_00125,,,,PF14559.7
Aq_sp_Aq349_00126,COG4995,,,PF12895.8
Aq_sp_Aq349_00127,COG2124,,K15907,PF00067.23
Aq_sp_Aq349_00128,COG1228,,,PF01979.21
Aq_sp_Aq349_00129,COG2255,,K03551,PF00004.30
Aq_sp_Aq349_00130,COG0843,,K02274,PF00115.21
Aq_sp_Aq349_00131,COG1622,,,PF00116.21
Aq_sp_Aq349_00133,COG2010,,,PF13442.7
Aq_sp_Aq349_00134,,,,PF11821.9
Aq_sp_Aq349_00135,COG3743,,,PF03916.15
Aq_sp_Aq349_00136,COG0437,,,PF13237.7
Aq_sp_Aq349_00137,COG2010,,,PF14522.7
Aq_sp_Aq349_00139,COG0532,,,PF00009.28
Aq_sp_Aq349_00140,COG0195,,K02600,PF07650.18
Aq_sp_Aq349_00141,COG0779,,,PF02576.18
Aq_sp_Aq349_00142,COG0589,,,PF00582.27
Aq_sp_Aq349_00143,,,,PF11028.9
Aq_sp_Aq349_00144,COG0726,GCE4,K22278,PF01522.22
Aq_sp_Aq349_00145,COG3118,,,PF00085.21
Aq_sp_Aq349_00146,COG1408,,,PF00149.29
Aq_sp_Aq349_00147,COG0749,,K02335,PF01367.21
Aq_sp_Aq349_00148,COG1680,,,PF00144.25
Aq_sp_Aq349_00149,,GCBM9,,PF06452.12
Aq_sp_Aq349_00150,COG0102,,K02871,PF00572.19
Aq_sp_Aq349_00151,COG0103,,K02996,PF00380.20
Aq_sp_Aq349_00152,COG0052,,,PF00318.21
Aq_sp_Aq349_00153,COG0264,,K02357,PF00889.20
Aq_sp_Aq349_00154,COG0528,,K09903,PF00696.29
Aq_sp_Aq349_00155,COG0233,,K02838,PF01765.20
Aq_sp_Aq349_00156,,,,PF13715.7
Aq_sp_Aq349_00157,COG1033,,,PF00873.20
Aq_sp_Aq349_00158,COG0017,,K01893,PF00152.21
Aq_sp_Aq349_00159,,,,PF10754.10
Aq_sp_Aq349_00160,COG3279,,K07705,PF04397.16
Aq_sp_Aq349_00161,,,,PF06580.14
Aq_sp_Aq349_00162,COG3275,,,PF06580.14
Aq_sp_Aq349_00164,,,,PF01400.25
Aq_sp_Aq349_00166,COG0666,,,PF00023.31
Aq_sp_Aq349_00167,COG0376,,K03782,PF00141.24
Aq_sp_Aq349_00168,COG1476,,,PF12844.8
Aq_sp_Aq349_00170,COG1846,,,PF01325.20
Aq_sp_Aq349_00171,COG0456,,,PF00583.26
Aq_sp_Aq349_00172,COG3153,,,PF00583.26
Aq_sp_Aq349_00177,COG4585,,K07683,PF02518.27
Aq_sp_Aq349_00178,COG2197,,K07692,PF00196.20
Aq_sp_Aq349_00179,COG1508,,K03092,PF00309.21
Aq_sp_Aq349_00181,,,,PF13568.7
Aq_sp_Aq349_00182,COG0848,,,PF02472.17
Aq_sp_Aq349_00183,COG0848,,,PF02472.17
Aq_sp_Aq349_00184,COG0848,,,PF02472.17
Aq_sp_Aq349_00185,COG0848,,,PF02472.17
Aq_sp_Aq349_00187,COG0811,,,PF01618.17
Aq_sp_Aq349_00188,COG0252,,K01424,PF00710.21
Aq_sp_Aq349_00189,COG0084,,K03424,PF01026.22
Aq_sp_Aq349_00191,COG1595,,,PF04542.15
Aq_sp_Aq349_00193,,,,PF00801.21
Aq_sp_Aq349_00194,COG4995,,,PF12770.8
Aq_sp_Aq349_00195,,,,PF13650.7
Aq_sp_Aq349_00196,COG0223,,,PF02911.19
Aq_sp_Aq349_00197,COG4675,,,PF07484.13
Aq_sp_Aq349_00198,COG4675,,,PF07484.13
Aq_sp_Aq349_00200,COG4932,,,PF19078.1
Aq_sp_Aq349_00201,,,,PF11751.9
Aq_sp_Aq349_00202,COG0577,,,PF02687.22
Aq_sp_Aq349_00203,COG0138,,K00602,PF01808.19
Aq_sp_Aq349_00204,COG1077,,K03569,PF00022.20
Aq_sp_Aq349_00205,COG1792,,K03570,PF04085.15
Aq_sp_Aq349_00207,COG0768,,K05515,PF03717.16
Aq_sp_Aq349_00208,COG0772,,K05837,PF01098.20
Aq_sp_Aq349_00209,COG1864,,,PF01223.24
Aq_sp_Aq349_00210,,,,PF13462.7
Aq_sp_Aq349_00211,COG1173,,,PF00528.23
Aq_sp_Aq349_00212,COG0793,,K03797,PF11818.9
Aq_sp_Aq349_00213,COG0496,,K03787,PF01975.18
Aq_sp_Aq349_00215,COG0763,GT19,K00748,PF02684.16
Aq_sp_Aq349_00216,COG0642,,,PF02518.27
Aq_sp_Aq349_00217,COG0791,,,PF00877.20
Aq_sp_Aq349_00218,COG0658,,,PF03772.17
Aq_sp_Aq349_00219,COG1680,,,PF00144.25
Aq_sp_Aq349_00220,COG2143,,,PF00085.21
Aq_sp_Aq349_00221,COG3104,,,PF07690.17
Aq_sp_Aq349_00222,COG3104,,,PF07690.17
Aq_sp_Aq349_00223,COG1506,,,PF00930.22
Aq_sp_Aq349_00224,COG1257,,K00054,PF00368.19
Aq_sp_Aq349_00225,COG1577,,,
Aq_sp_Aq349_00226,COG0607,,,PF14394.7
Aq_sp_Aq349_00227,COG0491,,,PF00753.28
Aq_sp_Aq349_00228,COG2814,,,PF07690.17
Aq_sp_Aq349_00229,COG1104,,K04487,PF00266.20
Aq_sp_Aq349_00230,COG0508,,K00658,PF00198.24
Aq_sp_Aq349_00231,COG0567,,K00164,PF16078.6
Aq_sp_Aq349_00235,COG0142,,K13787,PF00348.18
Aq_sp_Aq349_00236,COG1309,,,PF00440.24
Aq_sp_Aq349_00237,COG1538,,,PF02321.19
Aq_sp_Aq349_00238,COG0845,,K03585,PF00364.23
Aq_sp_Aq349_00239,COG0841,,K18138,PF00873.20
Aq_sp_Aq349_00241,COG3920,,,PF02518.27
Aq_sp_Aq349_00242,COG3279,,K02477,PF04397.16
Aq_sp_Aq349_00248,COG3401,,,PF00041.22
Aq_sp_Aq349_00249,,,,PF18962.1
Aq_sp_Aq349_00250,,,,PF14322.7
Aq_sp_Aq349_00251,COG1629,,,PF13715.7
Aq_sp_Aq349_00252,COG0173,,K01876,PF02938.15
Aq_sp_Aq349_00253,COG0038,,,PF00571.29
Aq_sp_Aq349_00254,COG1278,,K03704,PF00313.23
Aq_sp_Aq349_00255,COG0590,,K11991,PF00383.24
Aq_sp_Aq349_00256,COG3342,,,PF06267.13
Aq_sp_Aq349_00257,COG1154,,K01662,PF13292.7
Aq_sp_Aq349_00258,,,,PF13648.7
Aq_sp_Aq349_00259,,,,PF13648.7
Aq_sp_Aq349_00260,COG0232,,,PF01966.23
Aq_sp_Aq349_00261,COG0209,,K00525,PF03477.17
Aq_sp_Aq349_00262,COG0208,,K00526,PF00268.22
Aq_sp_Aq349_00263,,,,PF11307.9
Aq_sp_Aq349_00264,COG2095,,,PF01914.18
Aq_sp_Aq349_00265,COG0793,,,PF13180.7
Aq_sp_Aq349_00266,COG2131,,,PF00383.24
Aq_sp_Aq349_00267,,,,PF13795.7
Aq_sp_Aq349_00272,COG1131,,K01990,PF13304.7
Aq_sp_Aq349_00273,COG3420,,,PF13229.7
Aq_sp_Aq349_00274,COG4314,,,PF05573.13
Aq_sp_Aq349_00276,COG4263,,K00376,PF18764.2
Aq_sp_Aq349_00277,COG2335,,,PF02469.23
Aq_sp_Aq349_00278,,,,PF00034.22
Aq_sp_Aq349_00279,COG1999,,,PF00578.22
Aq_sp_Aq349_00280,COG1262,,K13444,PF03781.17
Aq_sp_Aq349_00281,COG2132,,,PF00394.23
Aq_sp_Aq349_00282,COG1959,,,PF02082.21
Aq_sp_Aq349_00283,COG3256,,,PF00115.21
Aq_sp_Aq349_00284,COG2846,,K07322,PF01814.24
Aq_sp_Aq349_00285,,,,PF14595.7
Aq_sp_Aq349_00286,COG0029,,K00278,PF00890.25
Aq_sp_Aq349_00287,COG0379,,K03517,PF02445.17
Aq_sp_Aq349_00289,COG1629,,,
Aq_sp_Aq349_00291,COG1959,,,PF02082.21
Aq_sp_Aq349_00293,COG1328,,,PF13597.7
Aq_sp_Aq349_00294,COG1180,,,PF13353.7
Aq_sp_Aq349_00295,COG3279,,K02477,PF04397.16
Aq_sp_Aq349_00296,COG3275,,,PF06580.14
Aq_sp_Aq349_00298,COG0457,,,PF12895.8
Aq_sp_Aq349_00300,COG0823,,,PF00930.22
Aq_sp_Aq349_00301,COG3182,,,PF03929.17
Aq_sp_Aq349_00303,COG1629,,K02014,PF13715.7
Aq_sp_Aq349_00304,COG0236,,,PF00550.26
Aq_sp_Aq349_00305,COG1233,,,PF01593.25
Aq_sp_Aq349_00306,COG1028,,K00059,PF00106.26
Aq_sp_Aq349_00307,COG0304,,K09458,PF00109.27
Aq_sp_Aq349_00308,COG0304,,,PF00109.27
Aq_sp_Aq349_00309,COG0764,,,PF07977.14
Aq_sp_Aq349_00310,,,,PF14329.7
Aq_sp_Aq349_00311,,,,PF00550.26
Aq_sp_Aq349_00312,COG2091,,,PF01648.21
Aq_sp_Aq349_00313,COG1015,,,PF01676.19
Aq_sp_Aq349_00314,COG0331,,,PF00698.22
Aq_sp_Aq349_00315,COG0304,,K00646,PF00109.27
Aq_sp_Aq349_00316,COG0236,,K15337,PF00550.26
Aq_sp_Aq349_00317,COG0491,,,PF00753.28
Aq_sp_Aq349_00318,COG3321,,K15328,PF00698.22
Aq_sp_Aq349_00320,COG1024,,K15312,PF00378.21
Aq_sp_Aq349_00321,COG3425,,K15311,PF08540.11
Aq_sp_Aq349_00322,COG0520,,,PF00266.20
Aq_sp_Aq349_00323,COG2227,,,PF02353.21
Aq_sp_Aq349_00324,COG1104,,K04487,PF00155.22
Aq_sp_Aq349_00325,,,,PF09719.11
Aq_sp_Aq349_00326,COG3321,,,PF01073.20
Aq_sp_Aq349_00328,COG3321,,,PF00106.26
Aq_sp_Aq349_00329,COG3321,,,PF00378.21
Aq_sp_Aq349_00331,COG2303,,,PF01266.25
Aq_sp_Aq349_00332,,,,PF07044.12
Aq_sp_Aq349_00333,COG1033,,,PF03176.16
Aq_sp_Aq349_00334,COG3321,,,PF16197.6
Aq_sp_Aq349_00335,COG0001,,,PF00202.22
Aq_sp_Aq349_00336,COG3321,,,PF00106.26
Aq_sp_Aq349_00337,COG0250,,,PF02357.20
Aq_sp_Aq349_00338,COG0462,,K00948,PF00156.28
Aq_sp_Aq349_00339,COG1825,,K02897,PF01386.20
Aq_sp_Aq349_00340,COG0193,,,PF01195.20
Aq_sp_Aq349_00341,COG0196,,K11753,PF01467.27
Aq_sp_Aq349_00342,,,,PF05090.15
Aq_sp_Aq349_00343,COG4585,,,PF07730.14
Aq_sp_Aq349_00344,COG0172,,K01875,PF02403.23
Aq_sp_Aq349_00345,COG5010,,,PF12895.8
Aq_sp_Aq349_00346,,,,PF14114.7
Aq_sp_Aq349_00347,COG0030,,K02528,PF00398.21
Aq_sp_Aq349_00348,COG2239,,K06213,PF00571.29
Aq_sp_Aq349_00349,COG0824,,,PF03061.23
Aq_sp_Aq349_00350,,,,PF10988.9
Aq_sp_Aq349_00351,,,,PF16403.6
Aq_sp_Aq349_00352,,,,PF00515.29
Aq_sp_Aq349_00353,,,,PF05658.15
Aq_sp_Aq349_00354,COG0111,,K22982,PF00389.31
Aq_sp_Aq349_00355,COG4339,,,
Aq_sp_Aq349_00356,COG2197,,,PF00196.20
Aq_sp_Aq349_00357,,,,PF13858.7
Aq_sp_Aq349_00358,,,,PF08818.12
Aq_sp_Aq349_00359,COG0346,,,PF00903.26
Aq_sp_Aq349_00361,COG2314,,,PF05154.17
Aq_sp_Aq349_00362,COG0640,,,PF12840.8
Aq_sp_Aq349_00364,COG1247,,K03823,PF00583.26
Aq_sp_Aq349_00365,COG0394,,K03741,PF01451.22
Aq_sp_Aq349_00366,COG0668,,,PF00924.19
Aq_sp_Aq349_00367,COG3176,,,PF13444.7
Aq_sp_Aq349_00368,COG0527,,K00928,PF00696.29
Aq_sp_Aq349_00369,COG1247,,,PF00583.26
Aq_sp_Aq349_00370,COG0158,,K03841,PF00316.21
Aq_sp_Aq349_00373,COG1100,,,PF00025.22
Aq_sp_Aq349_00374,COG0642,,,PF02518.27
Aq_sp_Aq349_00375,,,,PF05099.14
Aq_sp_Aq349_00376,,,,PF13385.7
Aq_sp_Aq349_00377,COG0520,,K04127,PF00266.20
Aq_sp_Aq349_00378,COG1197,,K03723,PF02559.17
Aq_sp_Aq349_00381,COG3620,,,PF12844.8
Aq_sp_Aq349_00382,COG1680,,,PF00144.25
Aq_sp_Aq349_00383,,,,PF08450.13
Aq_sp_Aq349_00384,COG2207,,,PF12833.8
Aq_sp_Aq349_00385,,,K08587,PF03415.15
Aq_sp_Aq349_00386,COG2207,,,PF12833.8
Aq_sp_Aq349_00387,COG2207,,,PF12833.8
Aq_sp_Aq349_00388,,GCBM13,,PF11958.9
Aq_sp_Aq349_00389,COG0792,,K07460,PF02021.18
Aq_sp_Aq349_00390,COG1619,,K01297,PF02016.16
Aq_sp_Aq349_00391,COG5267,,,PF08811.12
Aq_sp_Aq349_00392,COG4102,,,PF07394.13
Aq_sp_Aq349_00393,COG0143,,K01874,PF08264.14
Aq_sp_Aq349_00394,COG0123,,K04768,PF00850.20
Aq_sp_Aq349_00396,,,,PF01243.21
Aq_sp_Aq349_00397,COG0517,,,PF00571.29
Aq_sp_Aq349_00398,COG2234,,,PF04389.18
Aq_sp_Aq349_00399,COG0479,,K00245,PF13085.7
Aq_sp_Aq349_00400,COG1053,,,PF01266.25
Aq_sp_Aq349_00401,,,,PF01127.23
Aq_sp_Aq349_00402,COG0436,,K14287,PF00155.22
Aq_sp_Aq349_00403,COG0389,,K02346,PF00817.21
Aq_sp_Aq349_00404,COG2954,,K01768,PF01928.22
Aq_sp_Aq349_00405,,,,PF08239.12
Aq_sp_Aq349_00407,COG4753,,,
Aq_sp_Aq349_00408,COG0642,,,PF02518.27
Aq_sp_Aq349_00409,COG0642,,,PF03924.14
Aq_sp_Aq349_00410,COG2350,,,
Aq_sp_Aq349_00411,COG3979,,,PF00041.22
Aq_sp_Aq349_00412,COG4953,GT51,,PF06832.13
Aq_sp_Aq349_00413,COG0737,,K08693,PF00149.29
Aq_sp_Aq349_00414,COG0737,,,PF02872.19
Aq_sp_Aq349_00415,COG2329,,,PF03992.17
Aq_sp_Aq349_00417,COG2373,,,PF00207.23
Aq_sp_Aq349_00419,COG1446,,K13051,PF01112.19
Aq_sp_Aq349_00420,COG4916,,,PF13676.7
Aq_sp_Aq349_00421,COG0464,,,PF00004.30
Aq_sp_Aq349_00422,COG3409,,,PF05257.17
Aq_sp_Aq349_00424,COG5412,,,PF13699.7
Aq_sp_Aq349_00426,,,,PF13699.7
Aq_sp_Aq349_00431,,,,PF00801.21
Aq_sp_Aq349_00433,,,,PF04865.15
Aq_sp_Aq349_00434,COG3628,,,PF04965.15
Aq_sp_Aq349_00435,COG4104,,,PF05488.14
Aq_sp_Aq349_00436,COG3500,,,PF04717.13
Aq_sp_Aq349_00438,,,,PF06841.13
Aq_sp_Aq349_00439,,,,PF06841.13
Aq_sp_Aq349_00440,COG3497,,,PF04984.15
Aq_sp_Aq349_00442,,,,PF14065.7
Aq_sp_Aq349_00443,,,,PF04055.22
Aq_sp_Aq349_00444,COG1418,,K06950,PF01966.23
Aq_sp_Aq349_00445,,,K03921,PF03405.15
Aq_sp_Aq349_00446,COG0204,,,PF01553.22
Aq_sp_Aq349_00447,,,,PF06491.12
Aq_sp_Aq349_00448,COG0484,,,PF00226.32
Aq_sp_Aq349_00450,COG3063,,,PF13424.7
Aq_sp_Aq349_00453,,,,PF05834.13
Aq_sp_Aq349_00454,COG0463,,K11936,PF00535.27
Aq_sp_Aq349_00455,COG0697,,,PF00892.21
Aq_sp_Aq349_00456,COG0370,,K04759,PF07664.13
Aq_sp_Aq349_00458,COG1680,,,PF00144.25
Aq_sp_Aq349_00459,COG1999,,,PF02630.15
Aq_sp_Aq349_00460,COG0750,,K11749,PF00595.25
Aq_sp_Aq349_00461,,,,PF01344.26
Aq_sp_Aq349_00462,,,,PF19081.1
Aq_sp_Aq349_00465,COG2197,,,PF00072.25
Aq_sp_Aq349_00466,COG4585,,,PF00515.29
Aq_sp_Aq349_00467,,,,PF00515.29
Aq_sp_Aq349_00469,COG0664,,,PF00027.30
Aq_sp_Aq349_00470,COG2207,,,PF12833.8
Aq_sp_Aq349_00471,,,,PF04993.14
Aq_sp_Aq349_00472,COG5587,,,PF09365.11
Aq_sp_Aq349_00473,COG3324,,,
Aq_sp_Aq349_00475,COG2226,,,PF02353.21
Aq_sp_Aq349_00476,COG0500,,,PF08241.13
Aq_sp_Aq349_00477,COG0640,,,PF08279.13
Aq_sp_Aq349_00478,COG3832,,,PF08327.12
Aq_sp_Aq349_00479,,,,PF00583.26
Aq_sp_Aq349_00480,COG1813,,,PF09685.11
Aq_sp_Aq349_00481,COG1680,,,PF00144.25
Aq_sp_Aq349_00482,COG1309,,,PF00440.24
Aq_sp_Aq349_00483,COG1309,,,PF00440.24
Aq_sp_Aq349_00484,COG0596,,,PF00561.21
Aq_sp_Aq349_00485,COG0456,,K09994,PF00583.26
Aq_sp_Aq349_00487,COG0664,,,PF00027.30
Aq_sp_Aq349_00488,COG0491,,,PF00753.28
Aq_sp_Aq349_00489,,,,PF00583.26
Aq_sp_Aq349_00490,COG0725,,K02020,PF13531.7
Aq_sp_Aq349_00491,COG3585,,,PF03459.18
Aq_sp_Aq349_00492,COG4149,,K02018,PF00528.23
Aq_sp_Aq349_00493,COG1118,,,PF13304.7
Aq_sp_Aq349_00494,COG3979,,,PF19077.1
Aq_sp_Aq349_00496,,,,PF13474.7
Aq_sp_Aq349_00497,COG0546,,,PF00702.27
Aq_sp_Aq349_00498,COG1629,,,PF14905.7
Aq_sp_Aq349_00499,COG1381,,,PF02565.16
Aq_sp_Aq349_00500,,,,PF13590.7
Aq_sp_Aq349_00501,COG0334,,,PF00208.22
Aq_sp_Aq349_00502,COG0626,,K01760,PF00155.22
Aq_sp_Aq349_00503,,,,PF11738.9
Aq_sp_Aq349_00504,,,,PF12867.8
Aq_sp_Aq349_00505,COG1393,,,PF03960.16
Aq_sp_Aq349_00506,COG0697,,,PF00892.21
Aq_sp_Aq349_00507,COG0824,,,PF13279.7
Aq_sp_Aq349_00508,COG3781,,,PF01062.22
Aq_sp_Aq349_00509,COG0429,,,PF00561.21
Aq_sp_Aq349_00510,COG3979,GH18+CBM12+CBM5,,PF00041.22
Aq_sp_Aq349_00511,COG3979,,,PF00041.22
Aq_sp_Aq349_00512,COG3979,,,PF00041.22
Aq_sp_Aq349_00513,COG0417,,,PF10108.10
Aq_sp_Aq349_00514,COG1680,,,PF00144.25
Aq_sp_Aq349_00515,COG0350,,K00567,PF01035.21
Aq_sp_Aq349_00516,COG1253,,,PF00571.29
Aq_sp_Aq349_00517,COG2318,,,PF05163.13
Aq_sp_Aq349_00518,COG4654,,,
Aq_sp_Aq349_00520,COG0113,,K01698,PF00490.22
Aq_sp_Aq349_00521,COG1131,,,PF13304.7
Aq_sp_Aq349_00522,COG0308,,,PF12730.8
Aq_sp_Aq349_00523,,,,PF13715.7
Aq_sp_Aq349_00525,COG1136,,K02003,PF13304.7
Aq_sp_Aq349_00526,COG0577,,,PF02687.22
Aq_sp_Aq349_00527,COG0577,,,PF02687.22
Aq_sp_Aq349_00528,COG0577,,,PF02687.22
Aq_sp_Aq349_00529,COG0577,,,PF02687.22
Aq_sp_Aq349_00530,COG0577,,,PF02687.22
Aq_sp_Aq349_00531,COG0577,,,PF02687.22
Aq_sp_Aq349_00532,COG4591,,,PF02687.22
Aq_sp_Aq349_00533,COG0577,,,PF02687.22
Aq_sp_Aq349_00534,COG0577,,,PF02687.22
Aq_sp_Aq349_00535,COG0577,,,PF02687.22
Aq_sp_Aq349_00536,COG0577,,,PF02687.22
Aq_sp_Aq349_00537,,,,PF10988.9
Aq_sp_Aq349_00538,COG1136,,K02003,PF13304.7
Aq_sp_Aq349_00539,COG0845,,,PF13533.7
Aq_sp_Aq349_00540,COG1538,,,PF02321.19
Aq_sp_Aq349_00541,COG2204,,K07713,PF00004.30
Aq_sp_Aq349_00542,COG5000,,K07710,PF02518.27
Aq_sp_Aq349_00545,COG0408,,K00228,PF01218.19
Aq_sp_Aq349_00546,COG2981,,,PF07264.12
Aq_sp_Aq349_00548,COG0407,,K01599,PF01208.18
Aq_sp_Aq349_00549,COG1587,,,PF02602.16
Aq_sp_Aq349_00550,COG0181,,K01749,PF01379.21
Aq_sp_Aq349_00551,COG0373,,K02492,PF00745.21
Aq_sp_Aq349_00552,COG2207,,,PF12833.8
Aq_sp_Aq349_00553,COG0276,,K01772,PF00762.20
Aq_sp_Aq349_00554,COG0534,,K18908,PF01554.19
Aq_sp_Aq349_00555,,,,PF12893.8
Aq_sp_Aq349_00556,COG2133,,K21430,PF07995.12
Aq_sp_Aq349_00557,COG2207,,,PF12833.8
Aq_sp_Aq349_00558,COG4447,,,PF02012.21
Aq_sp_Aq349_00559,COG0793,,,PF03572.19
Aq_sp_Aq349_00561,COG2207,,,PF12833.8
Aq_sp_Aq349_00562,COG1981,,,PF03653.14
Aq_sp_Aq349_00563,COG0456,,,PF00583.26
Aq_sp_Aq349_00564,COG1561,,,PF08340.12
Aq_sp_Aq349_00565,COG0194,,K00942,PF13238.7
Aq_sp_Aq349_00566,COG1057,,K00969,PF01467.27
Aq_sp_Aq349_00567,COG1024,,K01715,PF00378.21
Aq_sp_Aq349_00568,COG5000,,,PF02518.27
Aq_sp_Aq349_00569,COG1123,,K13892,PF13304.7
Aq_sp_Aq349_00570,COG2057,,K01029,PF01144.24
Aq_sp_Aq349_00572,COG0450,,K03386,PF10417.10
Aq_sp_Aq349_00573,COG1788,,K01028,PF01144.24
Aq_sp_Aq349_00574,COG5009,GT51,,PF00912.23
Aq_sp_Aq349_00575,,,,PF14109.7
Aq_sp_Aq349_00576,COG1774,,,PF04468.13
