row_0,COG,CAZyme,KO,Pfam
Aq_sp_Aq135_00068,COG0264,,K02357,PF00889.20
Aq_sp_Aq135_00069,COG0528,,K09903,PF00696.29
Aq_sp_Aq135_00070,COG0233,,K02838,PF01765.20
Aq_sp_Aq135_00071,,,,PF13715.7
Aq_sp_Aq135_00072,COG1033,,,PF00873.20
Aq_sp_Aq135_00074,COG0017,,K01893,PF00152.21
Aq_sp_Aq135_00075,,,,PF00413.25
Aq_sp_Aq135_00077,COG0666,,,PF00023.31
Aq_sp_Aq135_00078,COG0753,,K03781,PF00199.20
Aq_sp_Aq135_00079,COG3279,,K02477,PF04397.16
Aq_sp_Aq135_00080,COG3275,,,PF06580.14
Aq_sp_Aq135_00081,COG1629,,,PF13715.7
Aq_sp_Aq135_00082,COG1396,,,PF12844.8
Aq_sp_Aq135_00084,COG1842,,,PF04012.13
Aq_sp_Aq135_00086,COG2268,,,
Aq_sp_Aq135_00087,COG1196,,,PF00004.30
Aq_sp_Aq135_00089,COG4104,,,PF05488.14
Aq_sp_Aq135_00094,,,,PF13308.7
Aq_sp_Aq135_00096,COG1846,,,PF13463.7
Aq_sp_Aq135_00097,COG2153,,,PF00583.26
Aq_sp_Aq135_00100,COG4585,,K07683,PF02518.27
Aq_sp_Aq135_00101,COG2197,,K07692,PF00196.20
Aq_sp_Aq135_00102,COG1508,,K03092,PF00309.21
Aq_sp_Aq135_00104,,,,PF13568.7
Aq_sp_Aq135_00105,COG0848,,,PF02472.17
Aq_sp_Aq135_00106,COG0848,,,PF02472.17
Aq_sp_Aq135_00107,,,,PF02472.17
Aq_sp_Aq135_00108,COG0848,,,PF02472.17
Aq_sp_Aq135_00110,COG0811,,,PF01618.17
Aq_sp_Aq135_00111,COG0252,,K01424,PF00710.21
Aq_sp_Aq135_00112,COG0084,,K03424,PF01026.22
Aq_sp_Aq135_00113,,,,PF14559.7
Aq_sp_Aq135_00114,COG1595,,,PF04542.15
Aq_sp_Aq135_00115,,,,PF18911.1
Aq_sp_Aq135_00116,COG4995,,,PF12770.8
Aq_sp_Aq135_00117,,,,PF13650.7
Aq_sp_Aq135_00119,,,,PF14300.7
Aq_sp_Aq135_00120,COG2355,,,PF01244.22
Aq_sp_Aq135_00121,COG1670,,K03817,PF13302.8
Aq_sp_Aq135_00122,COG1305,,,PF01841.20
Aq_sp_Aq135_00126,COG0223,,,PF02911.19
Aq_sp_Aq135_00127,COG4675,,,PF07484.13
Aq_sp_Aq135_00129,COG4886,,,PF10084.10
Aq_sp_Aq135_00130,COG2340,,,PF00188.27
Aq_sp_Aq135_00131,COG0022,,,PF00676.21
Aq_sp_Aq135_00132,COG0115,,K00826,PF01063.20
Aq_sp_Aq135_00133,COG0508,,K00627,PF00198.24
Aq_sp_Aq135_00134,COG0663,,,PF00132.25
Aq_sp_Aq135_00135,COG1024,,,PF00378.21
Aq_sp_Aq135_00136,COG1012,,K02618,PF00171.23
Aq_sp_Aq135_00137,COG0183,,K00632,PF00109.27
Aq_sp_Aq135_00138,COG2050,,K02614,PF03061.23
Aq_sp_Aq135_00139,COG1250,,K00074,PF00725.23
Aq_sp_Aq135_00140,COG1024,,K15866,PF00378.21
Aq_sp_Aq135_00141,COG2151,,K02612,PF01883.20
Aq_sp_Aq135_00142,COG3396,,K02611,PF05138.13
Aq_sp_Aq135_00143,COG3460,,K02610,PF06243.12
Aq_sp_Aq135_00144,COG3396,,K02609,PF05138.13
Aq_sp_Aq135_00145,COG1018,,K02613,PF00970.25
Aq_sp_Aq135_00146,COG1309,,K22108,PF17932.2
Aq_sp_Aq135_00147,COG3187,,,PF03724.17
Aq_sp_Aq135_00148,,,K01337,PF18962.1
Aq_sp_Aq135_00149,COG3186,,,PF00351.22
Aq_sp_Aq135_00152,,,,PF08885.12
Aq_sp_Aq135_00153,COG0013,,K01872,PF02272.20
Aq_sp_Aq135_00154,COG0739,,,PF01551.23
Aq_sp_Aq135_00155,COG2843,,,PF09587.11
Aq_sp_Aq135_00156,COG0789,,,PF00376.24
Aq_sp_Aq135_00157,COG1704,,K03744,PF04011.13
Aq_sp_Aq135_00158,COG3762,,,PF04536.15
Aq_sp_Aq135_00159,COG1512,,,PF04536.15
Aq_sp_Aq135_00160,,,,PF13585.7
Aq_sp_Aq135_00161,COG1160,,K03977,PF00005.28
Aq_sp_Aq135_00162,COG3391,,,
Aq_sp_Aq135_00163,COG1159,,K03595,PF00350.24
Aq_sp_Aq135_00164,COG2885,,,PF13715.7
Aq_sp_Aq135_00165,COG1115,,K03310,PF01235.18
Aq_sp_Aq135_00166,COG0566,,,PF00588.20
Aq_sp_Aq135_00168,COG2849,,,
Aq_sp_Aq135_00172,COG3409,,,PF11860.9
Aq_sp_Aq135_00174,COG3275,,,PF06580.14
Aq_sp_Aq135_00175,COG3279,,K02477,PF04397.16
Aq_sp_Aq135_00176,COG0644,,,PF01266.25
Aq_sp_Aq135_00177,COG2986,,,PF00221.20
Aq_sp_Aq135_00178,,,,PF14903.7
Aq_sp_Aq135_00179,COG1028,,K00059,PF00106.26
Aq_sp_Aq135_00180,COG0304,,K00647,PF00109.27
Aq_sp_Aq135_00181,COG0236,,K02078,PF00550.26
Aq_sp_Aq135_00182,COG4261,,,PF03279.14
Aq_sp_Aq135_00184,COG0332,,K00648,PF08541.11
Aq_sp_Aq135_00186,COG0764,,,
Aq_sp_Aq135_00188,,,,PF14399.7
Aq_sp_Aq135_00189,COG1131,,K01990,PF13304.7
Aq_sp_Aq135_00190,COG0842,,K01992,PF01061.25
Aq_sp_Aq135_00191,COG0824,,,PF03061.23
Aq_sp_Aq135_00192,COG0304,,,PF00109.27
Aq_sp_Aq135_00193,,,K21460,PF00891.19
Aq_sp_Aq135_00195,COG0236,,,PF00550.26
Aq_sp_Aq135_00196,COG0304,,K09458,PF00109.27
Aq_sp_Aq135_00197,COG0304,,,PF00109.27
Aq_sp_Aq135_00198,COG0726,GCE4,,PF01522.22
Aq_sp_Aq135_00199,COG2834,,,PF03548.16
Aq_sp_Aq135_00201,COG0764,,,PF07977.14
Aq_sp_Aq135_00203,COG0463,GT2_Glycos_transf_2,,PF09835.10
Aq_sp_Aq135_00204,COG4258,,,PF00873.20
Aq_sp_Aq135_00205,COG1233,,,PF01593.25
Aq_sp_Aq135_00206,COG4927,,,PF03417.17
Aq_sp_Aq135_00207,COG1541,,K01912,PF00501.29
Aq_sp_Aq135_00208,,,,PF14329.7
Aq_sp_Aq135_00210,COG0384,,,PF02567.17
Aq_sp_Aq135_00211,COG1595,,K03088,PF04542.15
Aq_sp_Aq135_00213,COG0784,,K11355,PF00072.25
Aq_sp_Aq135_00214,,,,PF07700.16
Aq_sp_Aq135_00215,COG4251,,,PF02518.27
Aq_sp_Aq135_00217,COG3279,,K02477,PF04397.16
Aq_sp_Aq135_00218,,,,PF13448.7
Aq_sp_Aq135_00219,,,,PF00801.21
Aq_sp_Aq135_00220,COG3209,,,
Aq_sp_Aq135_00222,COG1525,,,PF00565.18
Aq_sp_Aq135_00223,COG1813,,,PF12844.8
Aq_sp_Aq135_00225,COG4974,,K03733,PF00589.23
Aq_sp_Aq135_00226,COG4974,,,PF00589.23
Aq_sp_Aq135_00227,COG2003,,,PF04002.16
Aq_sp_Aq135_00228,,,,PF10543.10
Aq_sp_Aq135_00233,,,,PF10543.10
Aq_sp_Aq135_00234,,,,PF10543.10
Aq_sp_Aq135_00235,COG3325,GCBM5+GH18+GH19,,PF17957.2
Aq_sp_Aq135_00236,COG4783,,,PF00515.29
Aq_sp_Aq135_00237,COG0463,GT2_Glycos_transf_2,,PF00535.27
Aq_sp_Aq135_00238,,,,PF13448.7
Aq_sp_Aq135_00239,COG2244,,,PF01943.18
Aq_sp_Aq135_00240,,,,PF01740.22
Aq_sp_Aq135_00242,COG0438,,,PF00534.21
Aq_sp_Aq135_00243,COG1670,,K03817,PF00583.26
Aq_sp_Aq135_00244,COG4886,,,PF12799.8
Aq_sp_Aq135_00245,COG3934,GH5_42,,PF00150.19
Aq_sp_Aq135_00247,COG5617,,,
Aq_sp_Aq135_00248,COG0463,GT2_Glycos_transf_2,,PF00535.27
Aq_sp_Aq135_00249,COG2885,,,PF13620.7
Aq_sp_Aq135_00250,,,,PF11751.9
Aq_sp_Aq135_00251,,,,PF13585.7
Aq_sp_Aq135_00256,COG2819,,,PF00756.21
Aq_sp_Aq135_00258,COG3279,,,PF04397.16
Aq_sp_Aq135_00260,COG4773,,K02014,PF13715.7
Aq_sp_Aq135_00261,COG3182,,,PF03929.17
Aq_sp_Aq135_00262,,,,PF18962.1
Aq_sp_Aq135_00264,,,,PF01400.25
Aq_sp_Aq135_00265,,,,PF11751.9
Aq_sp_Aq135_00266,,,,PF13585.7
Aq_sp_Aq135_00268,COG2207,,,PF12833.8
Aq_sp_Aq135_00269,COG0596,,,PF00561.21
Aq_sp_Aq135_00271,COG1680,,K01467,PF00144.25
Aq_sp_Aq135_00272,COG2207,,,PF12833.8
Aq_sp_Aq135_00273,,,,PF00413.25
Aq_sp_Aq135_00274,COG0664,,,
Aq_sp_Aq135_00275,COG0664,,,PF00325.21
Aq_sp_Aq135_00276,COG1304,,,PF01070.19
Aq_sp_Aq135_00277,COG3501,,,PF04717.13
Aq_sp_Aq135_00279,,,,PF14107.7
Aq_sp_Aq135_00281,COG2197,,K07696,PF00196.20
Aq_sp_Aq135_00282,COG4585,,,PF02518.27
Aq_sp_Aq135_00284,COG4886,,K13730,PF00560.34
Aq_sp_Aq135_00285,COG4946,,K08676,PF00930.22
Aq_sp_Aq135_00286,,,,PF12708.8
Aq_sp_Aq135_00287,COG0664,,,PF13545.7
Aq_sp_Aq135_00289,,,,PF18962.1
Aq_sp_Aq135_00290,COG1610,,K09117,PF09424.11
Aq_sp_Aq135_00291,COG0206,,,PF12327.9
Aq_sp_Aq135_00292,COG0849,,K03590,PF06277.12
Aq_sp_Aq135_00294,COG0773,,,PF01225.26
Aq_sp_Aq135_00295,COG0707,GT28,K02563,PF03033.21
Aq_sp_Aq135_00296,COG0772,,K03588,PF01098.20
Aq_sp_Aq135_00297,COG0771,,K01925,PF02875.22
Aq_sp_Aq135_00298,COG0472,,K01000,PF00953.22
Aq_sp_Aq135_00299,COG0769,,K01928,PF01225.26
Aq_sp_Aq135_00300,COG0768,,K08384,PF03793.20
Aq_sp_Aq135_00301,COG0275,,K03438,PF01795.20
Aq_sp_Aq135_00302,COG2001,,K03925,PF02381.19
Aq_sp_Aq135_00303,COG0596,,K16050,PF00561.21
Aq_sp_Aq135_00304,COG0218,,K03978,PF02421.19
Aq_sp_Aq135_00308,COG0171,,,PF02540.18
Aq_sp_Aq135_00309,COG2197,,,PF00196.20
Aq_sp_Aq135_00310,COG0358,,,PF10410.10
Aq_sp_Aq135_00311,COG3979,,,PF00041.22
Aq_sp_Aq135_00314,COG1595,,K03088,PF04542.15
Aq_sp_Aq135_00315,COG0142,,,PF00348.18
Aq_sp_Aq135_00316,COG0820,,K06941,PF13394.7
Aq_sp_Aq135_00317,,,,PF16036.6
Aq_sp_Aq135_00318,COG0809,,K07568,PF02547.16
Aq_sp_Aq135_00319,COG0128,,K00800,PF00275.21
Aq_sp_Aq135_00320,COG1694,,,PF03819.18
Aq_sp_Aq135_00322,,,,PF12969.8
Aq_sp_Aq135_00323,COG1490,,,PF02580.17
Aq_sp_Aq135_00324,,,,PF13505.7
Aq_sp_Aq135_00325,COG1162,,K06949,PF01926.24
Aq_sp_Aq135_00327,COG2876,,,PF01817.22
Aq_sp_Aq135_00328,COG0287,,K00220,PF03446.16
Aq_sp_Aq135_00329,COG0436,,K10206,PF00155.22
Aq_sp_Aq135_00330,COG0077,,K14170,PF00800.19
Aq_sp_Aq135_00331,COG0156,,K00639,PF00155.22
Aq_sp_Aq135_00332,COG0451,,,PF01073.20
Aq_sp_Aq135_00333,COG1522,,K03719,PF01037.22
Aq_sp_Aq135_00334,,,,PF13715.7
Aq_sp_Aq135_00335,COG1131,,K01990,PF13175.7
Aq_sp_Aq135_00336,COG2197,,,PF00072.25
Aq_sp_Aq135_00337,COG0642,,,PF02518.27
Aq_sp_Aq135_00338,,,,PF10988.9
Aq_sp_Aq135_00339,,,,PF09411.11
Aq_sp_Aq135_00340,COG0685,,K00297,PF02219.18
Aq_sp_Aq135_00341,,,,PF05163.13
Aq_sp_Aq135_00342,COG1410,,K00548,PF02310.20
Aq_sp_Aq135_00343,COG0646,,K00548,PF02574.17
Aq_sp_Aq135_00344,,,,PF08695.11
Aq_sp_Aq135_00345,COG0633,,K04755,PF00111.28
Aq_sp_Aq135_00346,COG0492,,K00384,PF03486.15
Aq_sp_Aq135_00347,COG1648,,K02302,PF13241.7
Aq_sp_Aq135_00348,COG0007,,K02303,PF00590.21
Aq_sp_Aq135_00349,COG0155,,,PF05168.15
Aq_sp_Aq135_00350,COG3501,,,PF04717.13
Aq_sp_Aq135_00352,,,,PF14107.7
Aq_sp_Aq135_00358,COG0464,,,PF00004.30
Aq_sp_Aq135_00361,COG2885,,,PF00691.21
Aq_sp_Aq135_00362,COG0600,,,PF00528.23
Aq_sp_Aq135_00363,COG1116,,K02045,PF00005.28
Aq_sp_Aq135_00365,COG3487,,,PF09375.11
Aq_sp_Aq135_00366,COG3488,,,PF00034.22
Aq_sp_Aq135_00367,COG3489,,,PF09375.11
Aq_sp_Aq135_00368,COG2426,,,PF06695.12
Aq_sp_Aq135_00371,COG3449,,,PF14526.7
Aq_sp_Aq135_00372,COG0350,,K10778,PF01035.21
Aq_sp_Aq135_00373,COG3826,,,PF13640.7
Aq_sp_Aq135_00374,COG3145,,,PF13532.7
Aq_sp_Aq135_00375,COG4319,,,PF14534.7
Aq_sp_Aq135_00376,COG1595,,,PF04542.15
Aq_sp_Aq135_00377,COG3279,,K02477,PF04397.16
Aq_sp_Aq135_00378,COG3275,,,PF06580.14
Aq_sp_Aq135_00379,COG1629,,,PF13715.7
Aq_sp_Aq135_00381,COG0596,,,PF00561.21
Aq_sp_Aq135_00382,COG0583,,K03576,PF00126.28
Aq_sp_Aq135_00383,,,,PF00583.26
Aq_sp_Aq135_00384,,,,PF13505.7
Aq_sp_Aq135_00385,,,,PF13568.7
Aq_sp_Aq135_00387,COG3591,,,PF18962.1
Aq_sp_Aq135_00390,COG0486,,K03650,PF00025.22
Aq_sp_Aq135_00391,COG3591,,,PF18962.1
Aq_sp_Aq135_00392,COG3296,,,PF09685.11
Aq_sp_Aq135_00393,COG0004,,K03320,PF00909.22
Aq_sp_Aq135_00394,COG0347,,K04751,PF00543.23
Aq_sp_Aq135_00395,COG0069,,K00284,PF00310.22
Aq_sp_Aq135_00396,COG0493,,K00266,PF01593.25
Aq_sp_Aq135_00399,,,,PF18962.1
Aq_sp_Aq135_00400,COG1385,,K09761,PF04452.15
Aq_sp_Aq135_00401,COG0533,,K01409,PF02543.16
Aq_sp_Aq135_00402,,,,PF04357.14
Aq_sp_Aq135_00403,COG0205,,K00850,PF01513.22
Aq_sp_Aq135_00404,COG4757,,,PF00561.21
Aq_sp_Aq135_00405,COG3291,,,PF04450.13
Aq_sp_Aq135_00406,COG3256,,,PF00115.21
Aq_sp_Aq135_00407,COG1335,,,PF00857.21
Aq_sp_Aq135_00408,COG0664,,,PF00027.30
Aq_sp_Aq135_00409,COG1942,,K01821,PF01361.22
Aq_sp_Aq135_00410,COG1028,,,PF00106.26
Aq_sp_Aq135_00412,COG0115,,K00824,PF01063.20
Aq_sp_Aq135_00413,COG1678,,K07735,PF02622.16
Aq_sp_Aq135_00414,COG0776,,K03530,PF00216.22
Aq_sp_Aq135_00415,COG0223,,K00604,PF02911.19
Aq_sp_Aq135_00416,COG0514,,,PF00270.30
Aq_sp_Aq135_00417,COG3911,,,PF13521.7
Aq_sp_Aq135_00418,COG2080,,K07302,PF00111.28
Aq_sp_Aq135_00419,COG1529,,,PF02738.19
Aq_sp_Aq135_00420,COG1975,,K00087,PF13478.7
Aq_sp_Aq135_00421,COG2068,,K19190,PF12804.8
Aq_sp_Aq135_00422,,,,PF04359.15
Aq_sp_Aq135_00423,,,,PF14123.7
Aq_sp_Aq135_00424,COG0766,,K00790,PF00275.21
Aq_sp_Aq135_00426,COG0542,,K03696,PF00004.30
Aq_sp_Aq135_00427,COG0188,,K02469,PF03989.14
Aq_sp_Aq135_00428,COG4783,,,PF00515.29
Aq_sp_Aq135_00429,COG4974,,,PF17293.3
Aq_sp_Aq135_00433,COG0270,,,PF00145.18
Aq_sp_Aq135_00434,COG1570,,,PF02601.16
Aq_sp_Aq135_00435,,,,PF06855.13
Aq_sp_Aq135_00439,,,,PF14053.7
Aq_sp_Aq135_00441,,,,PF05257.17
Aq_sp_Aq135_00455,,,,PF09509.11
Aq_sp_Aq135_00456,,,,PF00078.28
Aq_sp_Aq135_00461,,,,PF18735.2
Aq_sp_Aq135_00466,,,,PF11335.9
Aq_sp_Aq135_00467,COG1704,,K03744,PF04011.13
Aq_sp_Aq135_00471,,,,PF14107.7
Aq_sp_Aq135_00473,COG3501,,,PF04717.13
Aq_sp_Aq135_00474,COG1020,,,PF00668.21
Aq_sp_Aq135_00475,COG1020,,,PF00501.29
Aq_sp_Aq135_00476,COG1020,,,PF00501.29
Aq_sp_Aq135_00477,COG3321,,,PF00698.22
Aq_sp_Aq135_00478,COG3321,,,PF00698.22
Aq_sp_Aq135_00479,COG3208,,K15657,PF00975.21
Aq_sp_Aq135_00480,,,,PF05721.14
Aq_sp_Aq135_00481,COG3342,,,PF06267.13
Aq_sp_Aq135_00482,COG1018,,K02613,PF00970.25
Aq_sp_Aq135_00483,,,,PF13585.7
Aq_sp_Aq135_00484,COG2885,,,PF13620.7
Aq_sp_Aq135_00485,,,,PF11751.9
Aq_sp_Aq135_00486,,,,PF13585.7
Aq_sp_Aq135_00487,COG4680,,,PF09907.10
Aq_sp_Aq135_00488,COG5499,,,
Aq_sp_Aq135_00492,,,,PF13648.7
Aq_sp_Aq135_00495,COG4186,,,PF00149.29
Aq_sp_Aq135_00499,,,,PF00041.22
Aq_sp_Aq135_00500,COG3291,,,PF18981.1
Aq_sp_Aq135_00501,,,,PF18962.1
Aq_sp_Aq135_00502,COG3401,,,PF00041.22
Aq_sp_Aq135_00505,,,,PF03050.15
Aq_sp_Aq135_00506,,,,PF03903.14
Aq_sp_Aq135_00507,,,,PF05572.14
Aq_sp_Aq135_00508,COG2963,,,PF13551.7
Aq_sp_Aq135_00509,COG2801,,,PF13610.7
Aq_sp_Aq135_00510,COG3469,GCBM5+CBM73+GH18,,PF17957.2
Aq_sp_Aq135_00511,COG1846,,,PF01047.23
Aq_sp_Aq135_00512,COG0488,,K06158,PF13304.7
Aq_sp_Aq135_00513,,,,PF06170.13
Aq_sp_Aq135_00514,COG0665,,,PF01266.25
Aq_sp_Aq135_00516,,,,PF12080.9
Aq_sp_Aq135_00518,COG1262,,,PF03781.17
Aq_sp_Aq135_00519,COG0010,,,PF00491.22
Aq_sp_Aq135_00520,COG0550,,,PF01131.21
Aq_sp_Aq135_00522,COG0621,,K06168,PF04055.22
Aq_sp_Aq135_00523,COG2204,,,PF07728.15
Aq_sp_Aq135_00524,,,,PF04390.13
Aq_sp_Aq135_00526,,,,PF03840.15
Aq_sp_Aq135_00527,COG0234,,K04078,PF00166.22
Aq_sp_Aq135_00528,COG0459,,,PF00118.25
Aq_sp_Aq135_00529,COG3800,,,PF12844.8
Aq_sp_Aq135_00530,COG2225,,K01638,PF01274.23
Aq_sp_Aq135_00531,COG2224,,K01637,PF00463.22
Aq_sp_Aq135_00532,COG2173,,,PF01427.18
Aq_sp_Aq135_00533,,,,PF11827.9
Aq_sp_Aq135_00534,COG1956,,K08968,PF01590.27
Aq_sp_Aq135_00535,COG1087,,K01784,PF01073.20
Aq_sp_Aq135_00536,COG0760,,,PF00639.22
Aq_sp_Aq135_00537,COG3714,,,PF07947.15
Aq_sp_Aq135_00538,COG1253,,,PF00571.29
Aq_sp_Aq135_00539,,,,PF06835.14
Aq_sp_Aq135_00540,,,,PF00515.29
Aq_sp_Aq135_00541,,,,PF03349.17
Aq_sp_Aq135_00542,COG1521,,K03525,PF03309.15
Aq_sp_Aq135_00543,COG4995,,,PF12770.8
Aq_sp_Aq135_00544,COG0451,,,PF01073.20
Aq_sp_Aq135_00545,,,,PF14129.7
Aq_sp_Aq135_00546,COG0044,,K01466,PF01979.21
Aq_sp_Aq135_00547,COG0463,GT2,K00721,PF00535.27
Aq_sp_Aq135_00548,,,,PF14093.7
Aq_sp_Aq135_00549,COG1587,,,PF02602.16
Aq_sp_Aq135_00550,COG1866,,K01610,PF01293.21
Aq_sp_Aq135_00551,COG2363,,,PF04241.16
Aq_sp_Aq135_00552,COG1748,,,PF16653.6
Aq_sp_Aq135_00553,COG1522,,K03718,PF01037.22
Aq_sp_Aq135_00554,COG2738,,,PF04298.13
Aq_sp_Aq135_00555,COG0686,,K00259,PF02826.20
Aq_sp_Aq135_00556,COG4095,,K15383,PF03083.17
Aq_sp_Aq135_00557,COG0495,,K01869,PF08264.14
Aq_sp_Aq135_00558,COG1893,,,PF02558.17
Aq_sp_Aq135_00559,,,,PF01289.20
Aq_sp_Aq135_00560,COG2177,,,PF18075.2
Aq_sp_Aq135_00561,COG0682,,K13292,PF01790.19
Aq_sp_Aq135_00563,,,,PF11297.9
Aq_sp_Aq135_00564,COG1968,,K06153,PF02673.19
Aq_sp_Aq135_00565,COG0130,,K03177,PF16198.6
Aq_sp_Aq135_00567,,,,PF14595.7
Aq_sp_Aq135_00568,COG4886,,,PF10084.10
Aq_sp_Aq135_00569,COG4886,,,PF00560.34
Aq_sp_Aq135_00570,COG2818,,K01246,PF03352.14
Aq_sp_Aq135_00571,COG0035,,K00761,PF00156.28
Aq_sp_Aq135_00572,COG2360,,K00684,PF03588.15
Aq_sp_Aq135_00573,,,,PF11325.9
Aq_sp_Aq135_00574,COG1853,,,PF01613.19
Aq_sp_Aq135_00575,COG0642,,,PF02518.27
Aq_sp_Aq135_00576,COG0824,,,PF03061.23
Aq_sp_Aq135_00577,COG0537,,,PF11969.9
Aq_sp_Aq135_00578,COG0782,,K03624,PF01272.20
Aq_sp_Aq135_00581,COG1060,,K03150,PF06968.14
Aq_sp_Aq135_00582,COG2022,,K03149,PF00977.22
Aq_sp_Aq135_00583,COG0352,,K00788,PF02581.18
Aq_sp_Aq135_00584,COG0351,,K00941,PF08543.13
Aq_sp_Aq135_00586,COG0352,,,PF02581.18
Aq_sp_Aq135_00587,COG0422,,K03147,PF13667.7
Aq_sp_Aq135_00588,COG1629,,,PF07715.16
Aq_sp_Aq135_00589,COG0642,,,PF02518.27
Aq_sp_Aq135_00590,COG2204,,K07713,PF00004.30
Aq_sp_Aq135_00592,COG1186,,K15034,PF00472.21
Aq_sp_Aq135_00593,,,,PF14134.7
Aq_sp_Aq135_00594,COG3172,,K06211,PF13521.7
Aq_sp_Aq135_00595,COG3201,,K03811,PF04973.13
Aq_sp_Aq135_00596,,,,PF01910.18
Aq_sp_Aq135_00597,COG2091,,,PF01648.21
Aq_sp_Aq135_00598,COG0499,,K01251,PF02826.20
Aq_sp_Aq135_00600,COG0211,,K02899,PF01016.20
Aq_sp_Aq135_00601,COG0261,,,PF14520.7
Aq_sp_Aq135_00602,,,,PF13858.7
Aq_sp_Aq135_00603,COG0697,,,PF00892.21
Aq_sp_Aq135_00605,COG1253,,,PF00571.29
Aq_sp_Aq135_00606,COG0629,,K03111,PF00436.26
Aq_sp_Aq135_00607,COG1194,,,PF00633.24
Aq_sp_Aq135_00608,COG0776,,K03530,PF00216.22
Aq_sp_Aq135_00609,COG1530,,K08301,PF10150.10
Aq_sp_Aq135_00610,,,,PF14028.7
Aq_sp_Aq135_00611,,,,PF04738.14
Aq_sp_Aq135_00612,COG2137,,,PF02631.17
Aq_sp_Aq135_00613,COG0793,,,PF03572.19
Aq_sp_Aq135_00614,COG2207,,,PF12833.8
Aq_sp_Aq135_00615,,,,PF13621.7
Aq_sp_Aq135_00616,COG0502,,K01012,PF06968.14
Aq_sp_Aq135_00617,COG0304,,K09458,PF00109.27
Aq_sp_Aq135_00618,,,,PF08695.11
Aq_sp_Aq135_00619,COG0161,,,PF00202.22
Aq_sp_Aq135_00620,COG0132,,K01935,PF13500.7
Aq_sp_Aq135_00621,COG0156,,,PF00155.22
