PFAM_ACC,CLAN,CLAN_Name,PFAM_Name,PFAM_desc
PF02096,CL0376,Oxa1,60KD_IMP,60Kd inner membrane protein
PF07698,CL0192,GPCR_A,7TM-7TMR_HD,7TM receptor with intracellular HD hydrolase
PF07696,CL0202,GBD,7TMR-DISMED2,7TMR-DISM extracellular 2
PF07695,CL0192,GPCR_A,7TMR-DISM_7TM,7TM diverse intracellular signalling
PF07697,,,7TMR-HDED,7TM-HD extracellular
PF14402,,,7TM_transglut,7 transmembrane helices usually fused to an inactive transglutaminase
PF00207,CL0159,E-set,A2M,Alpha-2-macroglobulin family
PF07703,CL0159,E-set,A2M_BRD,Alpha-2-macroglobulin bait region domain
PF00004,CL0023,P-loop_NTPase,AAA,ATPase family associated with various cellular activities (AAA)
PF12846,CL0023,P-loop_NTPase,AAA_10,AAA-like domain
PF13173,CL0023,P-loop_NTPase,AAA_14,AAA domain
PF13175,CL0023,P-loop_NTPase,AAA_15,AAA ATPase domain
PF13191,CL0023,P-loop_NTPase,AAA_16,AAA ATPase domain
PF13207,CL0023,P-loop_NTPase,AAA_17,AAA domain
PF13238,CL0023,P-loop_NTPase,AAA_18,AAA domain
PF13245,CL0023,P-loop_NTPase,AAA_19,AAA domain
PF07724,CL0023,P-loop_NTPase,AAA_2,AAA domain (Cdc48 subfamily)
PF13304,CL0023,P-loop_NTPase,AAA_21,"AAA domain, putative AbiEii toxin, Type IV TA system"
PF13401,CL0023,P-loop_NTPase,AAA_22,AAA domain
PF13476,CL0023,P-loop_NTPase,AAA_23,AAA domain
PF13479,CL0023,P-loop_NTPase,AAA_24,AAA domain
PF13481,CL0023,P-loop_NTPase,AAA_25,AAA domain
PF13500,CL0023,P-loop_NTPase,AAA_26,AAA domain
PF13514,CL0023,P-loop_NTPase,AAA_27,AAA domain
PF13521,CL0023,P-loop_NTPase,AAA_28,AAA domain
PF13555,CL0023,P-loop_NTPase,AAA_29,P-loop containing region of AAA domain
PF07726,CL0023,P-loop_NTPase,AAA_3,ATPase family associated with various cellular activities (AAA)
PF13604,CL0023,P-loop_NTPase,AAA_30,AAA domain
PF13614,CL0023,P-loop_NTPase,AAA_31,AAA domain
PF13671,CL0023,P-loop_NTPase,AAA_33,AAA domain
PF07728,CL0023,P-loop_NTPase,AAA_5,AAA domain (dynein-related subfamily)
PF12775,CL0023,P-loop_NTPase,AAA_7,P-loop containing dynein motor region
PF16193,CL0671,AAA_lid,AAA_assoc_2,AAA C-terminal domain
PF17863,CL0671,AAA_lid,AAA_lid_2,AAA lid domain
PF17862,CL0671,AAA_lid,AAA_lid_3,AAA+ lid domain
PF17864,CL0671,AAA_lid,AAA_lid_4,RuvB AAA lid domain
PF17866,CL0671,AAA_lid,AAA_lid_6,AAA lid domain
PF17871,CL0671,AAA_lid,AAA_lid_9,AAA lid domain
PF08298,CL0023,P-loop_NTPase,AAA_PrkA,PrkA AAA domain
PF03417,CL0052,NTN,AAT,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF00696,,,AA_kinase,Amino acid kinase family
PF00324,CL0062,APC,AA_permease,Amino acid permease
PF13520,CL0062,APC,AA_permease_2,Amino acid permease
PF00950,CL0142,Membrane_trans,ABC-3,ABC 3 transport family
PF03109,CL0016,PKinase,ABC1,ABC1 family
PF01061,CL0181,ABC-2,ABC2_membrane,ABC-2 type transporter
PF12679,CL0181,ABC-2,ABC2_membrane_2,ABC-2 family transporter protein
PF12698,CL0181,ABC-2,ABC2_membrane_3,ABC-2 family transporter protein
PF12730,CL0181,ABC-2,ABC2_membrane_4,ABC-2 family transporter protein
PF13346,CL0181,ABC-2,ABC2_membrane_5,ABC-2 family transporter protein
PF00664,CL0241,ABC_membrane,ABC_membrane,ABC transporter transmembrane region
PF00005,CL0023,P-loop_NTPase,ABC_tran,ABC transporter
PF09822,CL0014,Glutaminase_I,ABC_transp_aux,ABC-type uncharacterized transport system
PF16326,,,ABC_tran_CTD,ABC transporter C-terminal domain
PF12848,CL0023,P-loop_NTPase,ABC_tran_Xtn,ABC transporter
PF00561,CL0028,AB_hydrolase,Abhydrolase_1,alpha/beta hydrolase fold
PF02230,CL0028,AB_hydrolase,Abhydrolase_2,Phospholipase/Carboxylesterase
PF07859,CL0028,AB_hydrolase,Abhydrolase_3,alpha/beta hydrolase fold
PF12697,CL0028,AB_hydrolase,Abhydrolase_6,Alpha/beta hydrolase family
PF08843,CL0260,NTP_transf,AbiEii,"Nucleotidyl transferase AbiEii toxin, Type IV TA system"
PF07751,,,Abi_2,Abi-like protein
PF03992,CL0032,Dim_A_B_barrel,ABM,Antibiotic biosynthesis monooxygenase
PF16177,CL0378,ANL,ACAS_N,Acetyl-coenzyme A synthetase N-terminus
PF00887,CL0632,FERM_M,ACBP,Acyl CoA binding protein
PF03255,CL0127,ClpP_crotonase,ACCA,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF00871,CL0108,Actin_ATPase,Acetate_kinase,Acetokinase family
PF00583,CL0257,Acetyltrans,Acetyltransf_1,Acetyltransferase (GNAT) family
PF13673,CL0257,Acetyltrans,Acetyltransf_10,Acetyltransferase (GNAT) domain
PF13720,,,Acetyltransf_11,Udp N-acetylglucosamine O-acyltransferase; Domain 2
PF00797,CL0125,Peptidase_CA,Acetyltransf_2,N-acetyltransferase
PF13302,CL0257,Acetyltrans,Acetyltransf_3,Acetyltransferase (GNAT) domain
PF13420,CL0257,Acetyltrans,Acetyltransf_4,Acetyltransferase (GNAT) domain
PF13444,CL0257,Acetyltrans,Acetyltransf_5,Acetyltransferase (GNAT) domain
PF13480,CL0257,Acetyltrans,Acetyltransf_6,Acetyltransferase (GNAT) domain
PF13508,CL0257,Acetyltrans,Acetyltransf_7,Acetyltransferase (GNAT) domain
PF13523,CL0257,Acetyltrans,Acetyltransf_8,Acetyltransferase (GNAT) domain
PF13527,CL0257,Acetyltrans,Acetyltransf_9,Acetyltransferase (GNAT) domain
PF14542,CL0257,Acetyltrans,Acetyltransf_CG,GCN5-related N-acetyl-transferase
PF03767,CL0137,HAD,Acid_phosphat_B,"HAD superfamily, subfamily IIIB (Acid phosphatase)"
PF12689,CL0137,HAD,Acid_PPase,Acid Phosphatase
PF00330,,,Aconitase,Aconitase family (aconitate hydratase)
PF06434,CL0364,Leu-IlvD,Aconitase_2_N,Aconitate hydratase 2 N-terminus
PF11791,,,Aconitase_B_N,Aconitate B N-terminal domain
PF00694,CL0364,Leu-IlvD,Aconitase_C,Aconitase C-terminal domain
PF01648,CL0670,4PPT,ACPS,4'-phosphopantetheinyl transferase superfamily
PF04336,,,ACP_PD,Acyl carrier protein phosphodiesterase
PF08545,CL0046,Thiolase,ACP_syn_III,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF08541,CL0046,Thiolase,ACP_syn_III_C,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal  
PF00873,CL0322,RND_permease,ACR_tran,AcrB/AcrD/AcrF family
PF01842,CL0070,ACT,ACT,ACT domain
PF00022,CL0108,Actin_ATPase,Actin,Actin
PF10000,CL0070,ACT,ACT_3,ACT domain
PF13291,CL0070,ACT,ACT_4,ACT domain
PF13840,CL0070,ACT,ACT_7,ACT domain 
PF01643,CL0050,HotDog,Acyl-ACP_TE,Acyl-ACP thioesterase
PF00441,CL0087,Acyl-CoA_dh,Acyl-CoA_dh_1,"Acyl-CoA dehydrogenase, C-terminal domain"
PF08028,CL0087,Acyl-CoA_dh,Acyl-CoA_dh_2,"Acyl-CoA dehydrogenase, C-terminal domain"
PF02770,,,Acyl-CoA_dh_M,"Acyl-CoA dehydrogenase, middle domain"
PF02771,CL0544,AcylCoA_ox_dh_N,Acyl-CoA_dh_N,"Acyl-CoA dehydrogenase, N-terminal domain"
PF01553,CL0228,Acyltransferase,Acyltransferase,Acyltransferase
PF00698,CL0323,Patatin,Acyl_transf_1,Acyl transferase domain
PF01757,CL0316,Acyl_transf_3,Acyl_transf_3,Acyltransferase family
PF02805,,,Ada_Zn_binding,Metal binding domain of Ada
PF03352,,,Adenine_glyco,Methyladenine glycosylase
PF00709,CL0023,P-loop_NTPase,Adenylsucc_synt,Adenylosuccinate synthetase
PF08240,CL0296,GroES,ADH_N,Alcohol dehydrogenase GroES-like domain
PF00106,CL0063,NADP_Rossmann,adh_short,short chain dehydrogenase
PF13561,CL0063,NADP_Rossmann,adh_short_C2,Enoyl-(Acyl carrier protein) reductase
PF00107,CL0063,NADP_Rossmann,ADH_zinc_N,Zinc-binding dehydrogenase
PF13602,CL0063,NADP_Rossmann,ADH_zinc_N_2,Zinc-binding dehydrogenase
PF00406,CL0023,P-loop_NTPase,ADK,Adenylate kinase
PF05221,CL0325,Form_Glyc_dh,AdoHcyase,S-adenosyl-L-homocysteine hydrolase
PF00670,CL0063,NADP_Rossmann,AdoHcyase_NAD,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"
PF00578,CL0172,Thioredoxin,AhpC-TSA,AhpC/TSA family
PF13911,CL0172,Thioredoxin,AhpC-TSA_2,AhpC/TSA antioxidant enzyme
PF08327,CL0209,Bet_v_1_like,AHSA1,Activator of Hsp90 ATPase homolog 1-like protein
PF01594,,,AI-2E_transport,AI-2E family transporter
PF01808,CL0109,CDA,AICARFT_IMPCHas,AICARFT/IMPCHase bienzyme
PF04548,CL0023,P-loop_NTPase,AIG1,AIG1 family
PF01987,CL0029,Cupin,AIM24,Mitochondrial biogenesis AIM24
PF00731,CL0224,DHQS,AIRC,AIR carboxylase
PF00586,,,AIRS,"AIR synthase related protein, N-terminal domain"
PF02769,,,AIRS_C,"AIR synthase related protein, C-terminal domain"
PF00490,CL0036,TIM_barrel,ALAD,Delta-aminolevulinic acid dehydratase
PF01262,CL0063,NADP_Rossmann,AlaDh_PNT_C,"Alanine dehydrogenase/PNT, C-terminal domain"
PF05222,CL0325,Form_Glyc_dh,AlaDh_PNT_N,"Alanine dehydrogenase/PNT, N-terminal domain"
PF00842,,,Ala_racemase_C,"Alanine racemase, C-terminal domain"
PF01168,CL0036,TIM_barrel,Ala_racemase_N,"Alanine racemase, N-terminal domain"
PF04326,CL0441,AlbA,AlbA_2,Putative DNA-binding domain
PF00171,CL0099,ALDH-like,Aldedh,Aldehyde dehydrogenase family
PF01263,CL0103,Gal_mutarotase,Aldose_epim,Aldose 1-epimerase
PF00248,,,Aldo_ket_red,Aldo/keto reductase family
PF02738,,,Ald_Xan_dh_C2,Molybdopterin-binding domain of aldehyde dehydrogenase
PF13372,CL0193,MBB,Alginate_exp,Alginate export 
PF04864,CL0061,PLP_aminotran,Alliinase_C,Allinase
PF00128,CL0058,Glyco_hydro_tim,Alpha-amylase,"Alpha amylase, catalytic domain"
PF02806,CL0369,GHD,Alpha-amylase_C,"Alpha amylase, C-terminal all-beta domain"
PF10369,CL0070,ACT,ALS_ss_C,Small subunit of acetolactate synthase
PF01425,,,Amidase,Amidase
PF01520,CL0035,Peptidase_MH,Amidase_3,N-acetylmuramoyl-L-alanine amidase
PF02274,CL0197,GME,Amidinotransf,Amidinotransferase
PF01979,CL0034,Amidohydrolase,Amidohydro_1,Amidohydrolase family
PF04909,CL0034,Amidohydrolase,Amidohydro_2,Amidohydrolase
PF07969,CL0034,Amidohydrolase,Amidohydro_3,Amidohydrolase family
PF00155,CL0061,PLP_aminotran,Aminotran_1_2,Aminotransferase class I and II
PF00202,CL0061,PLP_aminotran,Aminotran_3,Aminotransferase class-III
PF01063,,,Aminotran_4,Amino-transferase class IV
PF00266,CL0061,PLP_aminotran,Aminotran_5,Aminotransferase class-V
PF12897,CL0061,PLP_aminotran,Aminotran_MocR,Alanine-glyoxylate amino-transferase
PF01593,CL0063,NADP_Rossmann,Amino_oxidase,Flavin containing amine oxidoreductase
PF00909,,,Ammonium_transp,Ammonium Transporter Family
PF00501,CL0378,ANL,AMP-binding,AMP-binding enzyme
PF13193,CL0531,AMP-binding_C,AMP-binding_C,AMP-binding enzyme C-terminal domain
PF14535,CL0531,AMP-binding_C,AMP-binding_C_2,AMP-binding enzyme C-terminal domain
PF16561,CL0369,GHD,AMPK1_CBM,Glycogen recognition site of AMP-activated protein kinase
PF05195,CL0356,AMP_N-like,AMP_N,"Aminopeptidase P, N-terminal domain"
PF12895,CL0020,TPR,ANAPC3,"Anaphase-promoting complex, cyclosome, subunit 3"
PF12894,CL0186,Beta_propeller,ANAPC4_WD40,Anaphase-promoting complex subunit 4 WD40 domain
PF00023,CL0465,Ank,Ank,Ankyrin repeat
PF12796,CL0465,Ank,Ank_2,Ankyrin repeats (3 copies)
PF13606,CL0465,Ank,Ank_3,Ankyrin repeat
PF13637,CL0465,Ank,Ank_4,Ankyrin repeats (many copies)
PF13857,CL0465,Ank,Ank_5,Ankyrin repeats (many copies)
PF03702,CL0108,Actin_ATPase,AnmK,Anhydro-N-acetylmuramic acid kinase
PF04715,,,Anth_synt_I_N,"Anthranilate synthase component I, N terminal region"
PF08264,CL0258,DALR,Anticodon_1,Anticodon-binding domain of tRNA ligase
PF02558,CL0063,NADP_Rossmann,ApbA,Ketopantoate reductase PanE/ApbA
PF08546,CL0106,6PGD_C,ApbA_C,Ketopantoate reductase PanE/ApbA C terminal
PF02424,,,ApbE,ApbE family
PF01636,CL0016,PKinase,APH,Phosphotransferase enzyme family
PF01261,CL0036,TIM_barrel,AP_endonuc_2,Xylose isomerase-like TIM barrel
PF02311,CL0029,Cupin,AraC_binding,AraC-like ligand binding domain
PF06719,CL0029,Cupin,AraC_N,AraC-type transcriptional regulator N-terminus
PF00025,CL0023,P-loop_NTPase,Arf,ADP-ribosylation factor family
PF00491,CL0302,Arginase,Arginase,Arginase family
PF00764,CL0039,HUP,Arginosuc_synth,Arginosuccinate synthase
PF03485,,,Arg_tRNA_synt_N,Arginyl tRNA synthetase N terminal domain
PF17293,CL0081,MBD-like,Arm-DNA-bind_5,Arm DNA-binding domain
PF02374,CL0023,P-loop_NTPase,ArsA_ATPase,Anion-transporting ATPase
PF17886,CL0190,HSP20,ArsA_HSP20,HSP20-like domain found in ArsA
PF03960,CL0172,Thioredoxin,ArsC,ArsC family
PF01731,CL0186,Beta_propeller,Arylesterase,Arylesterase
PF08328,,,ASL_C,Adenylosuccinate lyase C-terminal
PF13502,CL0401,AsmA-like,AsmA_2,AsmA-like C-terminal region
PF01037,CL0032,Dim_A_B_barrel,AsnC_trans_reg,Lrp/AsnC ligand binding domain
PF00733,CL0039,HUP,Asn_synthase,Asparagine synthase
PF00710,,,Asparaginase,"Asparaginase, N-terminal"
PF01112,CL0052,NTN,Asparaginase_2,Asparaginase
PF17763,,,Asparaginase_C,Glutaminase/Asparaginase C-terminal domain
PF05118,CL0029,Cupin,Asp_Arg_Hydrox,Aspartyl/Asparaginyl beta-hydroxylase
PF02261,CL0332,AcetylDC-like,Asp_decarbox,Aspartate decarboxylase
PF01177,CL0399,Asp-glut_race,Asp_Glu_race,Asp/Glu/Hydantoin racemase
PF13650,CL0129,Peptidase_AA,Asp_protease_2,Aspartyl protease
PF01400,CL0126,Peptidase_MA,Astacin,Astacin (Peptidase family M12A)
PF04952,CL0035,Peptidase_MH,AstE_AspA,Succinylglutamate desuccinylase / Aspartoacylase family
PF11700,CL0015,MFS,ATG22,Vacuole effluxer Atg22 like
PF03477,,,ATP-cone,ATP cone domain
PF02222,CL0179,ATP-grasp,ATP-grasp,ATP-grasp domain
PF08442,CL0179,ATP-grasp,ATP-grasp_2,ATP-grasp domain
PF02655,CL0179,ATP-grasp,ATP-grasp_3,ATP-grasp domain
PF13535,CL0179,ATP-grasp,ATP-grasp_4,ATP-grasp domain
PF13549,CL0179,ATP-grasp,ATP-grasp_5,ATP-grasp domain
PF00231,,,ATP-synt,ATP synthase
PF00119,,,ATP-synt_A,ATP synthase A chain
PF00006,CL0023,P-loop_NTPase,ATP-synt_ab,"ATP synthase alpha/beta family, nucleotide-binding domain"
PF00306,,,ATP-synt_ab_C,"ATP synthase alpha/beta chain, C terminal domain"
PF02874,CL0275,HAS-barrel,ATP-synt_ab_N,"ATP synthase alpha/beta family, beta-barrel domain"
PF00430,CL0255,ATP_synthase,ATP-synt_B,ATP synthase B/B' CF(0)
PF00137,,,ATP-synt_C,ATP synthase subunit C
PF02823,,,ATP-synt_DE_N,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain"
PF06745,CL0023,P-loop_NTPase,ATPase,KaiC
PF14397,CL0179,ATP-grasp,ATPgrasp_ST,Sugar-transfer associated ATP-grasp
PF15632,CL0179,ATP-grasp,ATPgrasp_Ter,ATP-grasp in the biosynthetic pathway with Ter operon
PF14398,CL0179,ATP-grasp,ATPgrasp_YheCD,YheC/D like ATP-grasp
PF01171,CL0039,HUP,ATP_bind_3,PP-loop family
PF11583,CL0044,Ferritin,AurF,P-aminobenzoate N-oxygenase AurF
PF05448,CL0028,AB_hydrolase,AXE1,Acetyl xylan esterase (AXE1)
PF00962,CL0034,Amidohydrolase,A_deaminase,Adenosine/AMP deaminase
PF08451,,,A_deaminase_N,Adenosine/AMP deaminase N-terminal
PF02310,CL0063,NADP_Rossmann,B12-binding,B12 binding domain
PF02607,,,B12-binding_2,B12 binding domain
PF03483,CL0383,PheT-TilS,B3_4,B3/4 domain
PF03484,CL0123,HTH,B5,tRNA synthetase B5 domain
PF02673,CL0292,LysE,BacA,Bacitracin resistance protein BacA
PF04519,,,Bactofilin,Polymer-forming cytoskeletal
PF00308,CL0023,P-loop_NTPase,Bac_DnaA,Bacterial dnaA  protein
PF08299,CL0123,HTH,Bac_DnaA_C,Bacterial dnaA protein helix-turn-helix
PF00216,CL0548,IHF-likeDNA-bdg,Bac_DNA_binding,Bacterial DNA-binding protein
PF02397,,,Bac_transf,Bacterial sugar transferase
PF01145,CL0433,SPFH,Band_7,SPFH domain / Band 7 family
PF13421,CL0433,SPFH,Band_7_1,SPFH domain-Band 7 family
PF07584,,,BatA,Aerotolerance regulator N-terminal
PF13584,CL0159,E-set,BatD,BatD DUF11 like domain
PF06968,,,BATS,Biotin and Thiamin Synthesis associated domain
PF01027,CL0453,Apoptosis-Inhib,Bax1-I,Inhibitor of apoptosis-promoting Bax1
PF07642,CL0193,MBB,BBP2,"Putative beta-barrel porin-2, OmpL-like. bbp2"
PF02028,CL0062,APC,BCCT,"BCCT, betaine/carnitine/choline family transporter"
PF01869,CL0108,Actin_ATPase,BcrAD_BadFG,BadF/BadG/BcrA/BcrD ATPase family
PF14439,CL0109,CDA,Bd3614-deam,Bd3614-like deaminase
PF01062,,,Bestrophin,"Bestrophin, RFP-TM, chloride channel"
PF00144,CL0013,Beta-lactamase,Beta-lactamase,Beta-lactamase
PF13354,CL0013,Beta-lactamase,Beta-lactamase2,Beta-lactamase enzyme family
PF01212,CL0061,PLP_aminotran,Beta_elim_lyase,Beta-eliminating lyase
PF13229,CL0268,Pec_lyase-like,Beta_helix,Right handed beta helix region
PF02369,CL0159,E-set,Big_1,Bacterial Ig-like domain (group 1)
PF19078,CL0159,E-set,Big_12,Bacterial Ig-like domain
PF13205,CL0159,E-set,Big_5,Bacterial Ig-like domain
PF17957,CL0159,E-set,Big_7,Bacterial Ig domain
PF00351,,,Biopterin_H,Biopterin-dependent aromatic amino acid hydroxylase
PF02785,CL0105,Hybrid,Biotin_carb_C,Biotin carboxylase C-terminal domain
PF00289,CL0483,PreATP-grasp,Biotin_carb_N,"Biotin carboxylase, N-terminal domain"
PF00364,CL0105,Hybrid,Biotin_lipoyl,Biotin-requiring enzyme
PF13533,CL0105,Hybrid,Biotin_lipoyl_2,Biotin-lipoyl like
PF06832,CL0159,E-set,BiPBP_C,Penicillin-Binding Protein C-terminus Family
PF04940,CL0622,Acylphosphatase,BLUF,Sensors of blue-light using FAD
PF17973,CL0159,E-set,bMG10,Bacterial Alpha-2-macroglobulin MG10 domain
PF11974,CL0159,E-set,bMG3,Bacterial alpha-2-macroglobulin MG3 domain
PF17972,CL0159,E-set,bMG5,Bacterial Alpha-2-macroglobulin MG5 domain
PF17962,CL0159,E-set,bMG6,Bacterial macroglobulin domain 6
PF02012,CL0434,Sialidase,BNR,BNR/Asp-box repeat
PF13088,CL0434,Sialidase,BNR_2,BNR repeat-like domain
PF04972,,,BON,BON domain
PF00528,CL0404,BPD_transp_1,BPD_transp_1,Binding-protein-dependent transport system inner membrane component
PF03099,CL0040,tRNA_synt_II,BPL_LplA_LipB,Biotin/lipoate A/B protein ligase family
PF05525,CL0062,APC,Branch_AA_trans,Branched-chain amino acid transport protein
PF00533,CL0459,BRCT-like,BRCT,BRCA1 C Terminus (BRCT) domain
PF10079,CL0039,HUP,BshC,Bacillithiol biosynthesis BshC 
PF04450,CL0126,Peptidase_MA,BSP,Peptidase of plants and bacteria
PF03092,CL0015,MFS,BT1,BT1 family
PF14399,CL0125,Peptidase_CA,BtrH_N,"Butirosin biosynthesis protein H, N-terminal"
PF17892,CL0159,E-set,Cadherin_5,Cadherin-like domain
PF03160,CL0159,E-set,Calx-beta,Calx-beta domain
PF00188,CL0659,CAP,CAP,Cysteine-rich secretory protein family
PF02543,CL0108,Actin_ATPase,Carbam_trans_N,Carbamoyltransferase N-terminus
PF13715,CL0287,Transthyretin,CarbopepD_reg_2,CarboxypepD_reg-like domain
PF01039,CL0127,ClpP_crotonase,Carboxyl_trans,Carboxyl transferase domain
PF13620,CL0287,Transthyretin,CarboxypepD_reg,Carboxypeptidase regulatory-like domain
PF01256,CL0118,Ribokinase,Carb_kinase,Carbohydrate kinase
PF02559,CL0123,HTH,CarD_CdnL_TRCF,CarD-like/TRCF domain
PF14526,CL0319,SHS2,Cass2,Integron-associated effector binding protein
PF00199,,,Catalase,Catalase
PF06628,,,Catalase-rel,Catalase-related immune-responsive
PF01545,,,Cation_efflux,Cation efflux family
PF01693,,,Cauli_VI,Caulimovirus viroplasmin
PF01656,CL0023,P-loop_NTPase,CbiA,CobQ/CobB/MinD/ParA nucleotide binding domain
PF02570,,,CbiC,Precorrin-8X methylmutase
PF01888,,,CbiD,CbiD
PF01890,,,CbiG_C,Cobalamin synthesis G C-terminus
PF11761,,,CbiG_mid,Cobalamin biosynthesis central region
PF11760,,,CbiG_N,Cobalamin synthesis G N-terminal
PF02571,CL0063,NADP_Rossmann,CbiJ,Precorrin-6x reductase CbiJ/CobK
PF06180,CL0043,Chelatase,CbiK,Cobalt chelatase (CbiK)
PF01903,CL0043,Chelatase,CbiX,CbiX
PF06452,CL0559,CBD9-like,CBM9_1,Carbohydrate family 9 binding domain-like
PF16011,CL0559,CBD9-like,CBM9_2,Carbohydrate-binding family 9
PF02922,CL0369,GHD,CBM_48,Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02839,CL0535,CBM,CBM_5_12,Carbohydrate binding domain
PF14600,CL0535,CBM,CBM_5_12_2,Cellulose-binding domain
PF03422,CL0202,GBD,CBM_6,Carbohydrate binding module (family 6)
PF06564,CL0023,P-loop_NTPase,CBP_BcsQ,Cellulose biosynthesis protein BcsQ
PF00571,,,CBS,CBS domain
PF02754,,,CCG,Cysteine-rich domain
PF03150,CL0318,Cytochrome-c,CCP_MauG,Di-haem cytochrome c peroxidase
PF01066,,,CDP-OH_P_transf,CDP-alcohol phosphatidyltransferase
PF00150,CL0058,Glyco_hydro_tim,Cellulase,Cellulase (glycosyl hydrolase family 5)
PF16036,CL0560,Chalcone-like,Chalcone_3,Chalcone isomerase-like
PF02797,CL0046,Thiolase,Chal_sti_synt_C,"Chalcone and stilbene synthases, C-terminal domain"
PF00195,CL0046,Thiolase,Chal_sti_synt_N,"Chalcone and stilbene synthases, N-terminal domain"
PF05257,CL0125,Peptidase_CA,CHAP,CHAP domain
PF03924,CL0165,Cache,CHASE,CHASE domain
PF12770,CL0093,Peptidase_CD,CHAT,CHAT domain
PF13290,CL0159,E-set,CHB_HEX_C_1,Chitobiase/beta-hexosaminidase C-terminal domain
PF01339,,,CheB_methylest,CheB methylesterase
PF01739,CL0063,NADP_Rossmann,CheR,"CheR methyltransferase, SAM binding domain"
PF03705,,,CheR_N,"CheR methyltransferase, all-alpha domain"
PF03142,CL0110,GT-A,Chitin_synth_2,Chitin synthase
PF13541,CL0329,S5,ChlI,Subunit ChlI of Mg-chelatase
PF12740,CL0028,AB_hydrolase,Chlorophyllase2,Chlorophyllase enzyme
PF02962,CL0082,MIF,CHMI,5-carboxymethyl-2-hydroxymuconate isomerase
PF01633,CL0016,PKinase,Choline_kinase,Choline/ethanolamine kinase
PF14592,CL0268,Pec_lyase-like,Chondroitinas_B,Chondroitinase B
PF00425,,,Chorismate_bind,chorismate binding enzyme
PF01264,,,Chorismate_synt,Chorismate synthase
PF13585,CL0159,E-set,CHU_C,CHU_C Type IX secretion signal domain
PF02464,,,CinA,Competence-damaged protein
PF18146,,,CinA_KH,Damage-inducible protein CinA KH domain
PF03600,CL0182,IT,CitMHS,Citrate transporter
PF00285,,,Citrate_synt,"Citrate synthase, C-terminal domain"
PF10431,CL0671,AAA_lid,ClpB_D2-small,"C-terminal, D2-small domain, of ClpB protein "
PF02617,,,ClpS,ATP-dependent Clp protease adaptor protein ClpS
PF02861,,,Clp_N,"Clp amino terminal domain, pathogenicity island component"
PF00574,CL0127,ClpP_crotonase,CLP_protease,Clp protease
PF02353,CL0063,NADP_Rossmann,CMAS,Mycolic acid cyclopropane synthetase
PF02627,CL0423,AhpD-like,CMD,Carboxymuconolactone decarboxylase family
PF01817,,,CM_2,Chorismate mutase type II
PF00027,CL0029,Cupin,cNMP_binding,Cyclic nucleotide-binding domain
PF00795,,,CN_hydrolase,Carbon-nitrogen hydrolase
PF08695,CL0455,MIM-OM_import,Coa1,Cytochrome oxidase complex assembly protein 1
PF01121,CL0023,P-loop_NTPase,CoaE,Dephospho-CoA kinase
